,Unnamed: 0.1,Unnamed: 0,Date,GL,GL_6m,GL_12m
0,0,0,2019-02-05,80.08731842041016,,
1,1,1,2019-02-06,78.81138610839844,,
2,2,2,2019-02-07,78.20697021484375,,
3,3,3,2019-02-08,77.727294921875,,
4,4,4,2019-02-11,78.08226013183594,,
5,5,5,2019-02-12,79.37739562988281,,
6,6,6,2019-02-13,79.2238998413086,80.08731842041016,
7,7,7,2019-02-14,78.50438690185547,78.81138610839844,
8,8,8,2019-02-15,79.9721908569336,78.20697021484375,
9,9,9,2019-02-19,80.24081420898438,77.727294921875,
10,10,10,2019-02-20,80.59578704833984,78.08226013183594,
11,11,11,2019-02-21,79.81868743896484,79.37739562988281,
12,12,12,2019-02-22,79.56928253173828,79.2238998413086,80.08731842041016
13,13,13,2019-02-25,79.26228332519531,78.50438690185547,78.81138610839844
14,14,14,2019-02-26,79.25267028808594,79.9721908569336,78.20697021484375
15,15,15,2019-02-27,79.37739562988281,80.24081420898438,77.727294921875
16,16,16,2019-02-28,79.20471954345703,80.59578704833984,78.08226013183594
17,17,17,2019-03-01,79.50212097167969,79.81868743896484,79.37739562988281
18,18,18,2019-03-04,79.08000183105469,79.56928253173828,79.2238998413086
19,19,19,2019-03-05,79.19514465332031,79.26228332519531,78.50438690185547
20,20,20,2019-03-06,78.46601104736328,79.25267028808594,79.9721908569336
21,21,21,2019-03-07,77.9479751586914,79.37739562988281,80.24081420898438
22,22,22,2019-03-08,77.85200500488281,79.20471954345703,80.59578704833984
23,23,23,2019-03-11,78.75379943847656,79.50212097167969,79.81868743896484
24,24,24,2019-03-12,78.97445678710938,79.08000183105469,79.56928253173828
25,25,25,2019-03-13,79.20471954345703,79.19514465332031,79.26228332519531
26,26,26,2019-03-14,79.31982421875,78.46601104736328,79.25267028808594
27,27,27,2019-03-15,79.73236083984375,77.9479751586914,79.37739562988281
28,28,28,2019-03-18,80.59578704833984,77.85200500488281,79.20471954345703
29,29,29,2019-03-19,80.0201644897461,78.75379943847656,79.50212097167969
30,30,30,2019-03-20,78.59072875976562,78.97445678710938,79.08000183105469
31,31,31,2019-03-21,79.02243041992188,79.20471954345703,79.19514465332031
32,32,32,2019-03-22,77.04615783691406,79.31982421875,78.46601104736328
33,33,33,2019-03-25,77.56420135498047,79.73236083984375,77.9479751586914
34,34,34,2019-03-26,78.54276275634766,80.59578704833984,77.85200500488281
35,35,35,2019-03-27,78.61949920654297,80.0201644897461,78.75379943847656
36,36,36,2019-03-28,78.47560119628906,78.59072875976562,78.97445678710938
