,Unnamed: 0,Date,AXON
0,0,2019-02-05,52.5
1,1,2019-02-06,52.119998931884766
2,2,2019-02-07,51.97999954223633
3,3,2019-02-08,51.43000030517578
4,4,2019-02-11,53.130001068115234
5,5,2019-02-12,53.29999923706055
6,6,2019-02-13,53.70000076293945
7,7,2019-02-14,54.59000015258789
8,8,2019-02-15,55.43000030517578
9,9,2019-02-19,55.810001373291016
10,10,2019-02-20,56.0
11,11,2019-02-21,55.4900016784668
12,12,2019-02-22,55.7400016784668
13,13,2019-02-25,58.04999923706055
14,14,2019-02-26,60.220001220703125
15,15,2019-02-27,55.4900016784668
16,16,2019-02-28,53.83000183105469
17,17,2019-03-01,54.45000076293945
18,18,2019-03-04,51.20000076293945
19,19,2019-03-05,51.400001525878906
20,20,2019-03-06,49.97999954223633
21,21,2019-03-07,48.470001220703125
22,22,2019-03-08,46.86000061035156
23,23,2019-03-11,47.970001220703125
24,24,2019-03-12,48.33000183105469
25,25,2019-03-13,47.630001068115234
26,26,2019-03-14,47.04999923706055
27,27,2019-03-15,47.959999084472656
28,28,2019-03-18,50.02000045776367
29,29,2019-03-19,52.040000915527344
30,30,2019-03-20,52.650001525878906
31,31,2019-03-21,54.540000915527344
32,32,2019-03-22,52.04999923706055
33,33,2019-03-25,52.88999938964844
34,34,2019-03-26,53.36000061035156
35,35,2019-03-27,52.52000045776367
36,36,2019-03-28,53.84999847412109
37,37,2019-03-29,54.40999984741211
38,38,2019-04-01,55.2599983215332
39,39,2019-04-02,54.380001068115234
40,40,2019-04-03,55.380001068115234
41,41,2019-04-04,55.119998931884766
42,42,2019-04-05,57.72999954223633
43,43,2019-04-08,60.31999969482422
44,44,2019-04-09,58.65999984741211
45,45,2019-04-10,60.119998931884766
46,46,2019-04-11,60.91999816894531
47,47,2019-04-12,61.869998931884766
48,48,2019-04-15,60.75
49,49,2019-04-16,61.54999923706055
50,50,2019-04-17,61.5
51,51,2019-04-18,59.81999969482422
52,52,2019-04-22,60.7400016784668
53,53,2019-04-23,62.869998931884766
54,54,2019-04-24,62.58000183105469
55,55,2019-04-25,62.93999862670898
56,56,2019-04-26,62.86000061035156
57,57,2019-04-29,63.369998931884766
58,58,2019-04-30,63.5
59,59,2019-05-01,63.790000915527344
60,60,2019-05-02,64.26000213623047
61,61,2019-05-03,65.30000305175781
62,62,2019-05-06,65.83999633789062
63,63,2019-05-07,64.63999938964844
64,64,2019-05-08,67.0
65,65,2019-05-09,66.7300033569336
66,66,2019-05-10,63.72999954223633
67,67,2019-05-13,64.76000213623047
68,68,2019-05-14,66.33000183105469
69,69,2019-05-15,65.41000366210938
70,70,2019-05-16,68.18000030517578
71,71,2019-05-17,68.0
72,72,2019-05-20,65.43000030517578
73,73,2019-05-21,67.83999633789062
74,74,2019-05-22,68.30000305175781
75,75,2019-05-23,67.02999877929688
76,76,2019-05-24,67.12999725341797
77,77,2019-05-28,68.51000213623047
78,78,2019-05-29,68.0199966430664
79,79,2019-05-30,68.05000305175781
