,Unnamed: 0.1,Unnamed: 0,Date,DGX,DGX_6m,DGX_12m
0,0,0,2019-02-05,79.02678680419922,,
1,1,1,2019-02-06,79.18035125732422,,
2,2,2,2019-02-07,81.05914306640625,,
3,3,3,2019-02-08,80.4720230102539,,
4,4,4,2019-02-11,79.71327209472656,,
5,5,5,2019-02-12,80.62557220458984,,
6,6,6,2019-02-13,81.18560791015625,79.02678680419922,
7,7,7,2019-02-14,77.22929382324219,79.18035125732422,
8,8,8,2019-02-15,79.31583404541016,81.05914306640625,
9,9,9,2019-02-19,79.53262329101562,80.4720230102539,
10,10,10,2019-02-20,80.33651733398438,79.71327209472656,
11,11,11,2019-02-21,79.31583404541016,80.62557220458984,
12,12,12,2019-02-22,79.30683135986328,81.18560791015625,79.02678680419922
13,13,13,2019-02-25,78.75582122802734,77.22929382324219,79.18035125732422
14,14,14,2019-02-26,78.53001403808594,79.31583404541016,81.05914306640625
15,15,15,2019-02-27,77.72610473632812,79.53262329101562,80.4720230102539
16,16,16,2019-02-28,78.17771911621094,80.33651733398438,79.71327209472656
17,17,17,2019-03-01,78.05128479003906,79.31583404541016,80.62557220458984
18,18,18,2019-03-04,77.42800903320312,79.30683135986328,81.18560791015625
19,19,19,2019-03-05,76.86799621582031,78.75582122802734,77.22929382324219
20,20,20,2019-03-06,75.27825164794922,78.53001403808594,79.31583404541016
21,21,21,2019-03-07,75.17887878417969,77.72610473632812,79.53262329101562
22,22,22,2019-03-08,76.20862579345703,78.17771911621094,80.33651733398438
23,23,23,2019-03-11,77.17510986328125,78.05128479003906,79.31583404541016
24,24,24,2019-03-12,78.4125747680664,77.42800903320312,79.30683135986328
25,25,25,2019-03-13,79.7674789428711,76.86799621582031,78.75582122802734
26,26,26,2019-03-14,79.39714050292969,75.27825164794922,78.53001403808594
27,27,27,2019-03-15,79.8939208984375,75.17887878417969,77.72610473632812
28,28,28,2019-03-18,80.11974334716797,76.20862579345703,78.17771911621094
29,29,29,2019-03-19,80.76105499267578,77.17510986328125,78.05128479003906
30,30,30,2019-03-20,80.05653381347656,78.4125747680664,77.42800903320312
31,31,31,2019-03-21,80.95075225830078,79.7674789428711,76.86799621582031
32,32,32,2019-03-22,80.60750579833984,79.39714050292969,75.27825164794922
33,33,33,2019-03-25,79.8939208984375,79.8939208984375,75.17887878417969
34,34,34,2019-03-26,80.0836181640625,80.11974334716797,76.20862579345703
