,Unnamed: 0.1,Unnamed: 0,Date,BALL,BALL_6m,BALL_12m
0,0,0,2019-02-05,50.38200759887695,,
1,1,1,2019-02-06,50.58162689208984,,
2,2,2,2019-02-07,50.6291618347168,,
3,3,3,2019-02-08,51.2375602722168,,
4,4,4,2019-02-11,51.19001770019531,,
5,5,5,2019-02-12,52.18815231323242,,
6,6,6,2019-02-13,52.47333526611328,50.38200759887695,
7,7,7,2019-02-14,52.23569107055664,50.58162689208984,
8,8,8,2019-02-15,51.45619583129883,50.6291618347168,
9,9,9,2019-02-19,51.38965606689453,51.2375602722168,
10,10,10,2019-02-20,51.71286392211914,51.19001770019531,
11,11,11,2019-02-21,51.78890228271485,52.18815231323242,
12,12,12,2019-02-22,52.53036880493164,52.47333526611328,50.38200759887695
13,13,13,2019-02-25,52.16914367675781,52.23569107055664,50.58162689208984
14,14,14,2019-02-26,51.96950912475586,51.45619583129883,50.6291618347168
15,15,15,2019-02-27,52.75852584838867,51.38965606689453,51.2375602722168
16,16,16,2019-02-28,52.1680793762207,51.71286392211914,51.19001770019531
17,17,17,2019-03-01,52.57758331298828,51.78890228271485,52.18815231323242
18,18,18,2019-03-04,52.615665435791016,52.53036880493164,52.47333526611328
19,19,19,2019-03-05,53.29180908203125,52.16914367675781,52.23569107055664
20,20,20,2019-03-06,52.77755355834961,51.96950912475586,51.45619583129883
21,21,21,2019-03-07,52.07283782958984,52.75852584838867,51.38965606689453
22,22,22,2019-03-08,52.38711166381836,52.1680793762207,51.71286392211914
23,23,23,2019-03-11,52.94898223876953,52.57758331298828,51.78890228271485
24,24,24,2019-03-12,53.929874420166016,52.615665435791016,52.53036880493164
25,25,25,2019-03-13,54.38698196411133,53.29180908203125,52.16914367675781
26,26,26,2019-03-14,54.53935623168945,52.77755355834961,51.96950912475586
27,27,27,2019-03-15,54.75838851928711,52.07283782958984,52.75852584838867
28,28,28,2019-03-18,55.12027740478516,52.38711166381836,52.1680793762207
29,29,29,2019-03-19,55.291690826416016,52.94898223876953,52.57758331298828
30,30,30,2019-03-20,55.34882736206055,53.929874420166016,52.615665435791016
31,31,31,2019-03-21,56.03450012207031,54.38698196411133,53.29180908203125
32,32,32,2019-03-22,55.17741394042969,54.53935623168945,52.77755355834961
33,33,33,2019-03-25,55.339298248291016,54.75838851928711,52.07283782958984
34,34,34,2019-03-26,55.472633361816406,55.12027740478516,52.38711166381836
35,35,35,2019-03-27,55.41548538208008,55.291690826416016,52.94898223876953
36,36,36,2019-03-28,55.17741394042969,55.34882736206055,53.929874420166016
37,37,37,2019-03-29,55.10123062133789,56.03450012207031,54.38698196411133
38,38,38,2019-04-01,55.61547470092773,55.17741394042969,54.53935623168945
39,39,39,2019-04-02,55.21550369262695,55.339298248291016,54.75838851928711
40,40,40,2019-04-03,55.25359725952149,55.472633361816406,55.12027740478516
41,41,41,2019-04-04,55.23455429077149,55.41548538208008,55.291690826416016
42,42,42,2019-04-05,55.339298248291016,55.17741394042969,55.34882736206055
43,43,43,2019-04-08,55.42501068115234,55.10123062133789,56.03450012207031
44,44,44,2019-04-09,54.89170837402344,55.61547470092773,55.17741394042969
45,45,45,2019-04-10,55.472633361816406,55.21550369262695,55.339298248291016
46,46,46,2019-04-11,55.82498550415039,55.25359725952149,55.472633361816406
47,47,47,2019-04-12,55.26311492919922,55.23455429077149,55.41548538208008
48,48,48,2019-04-15,55.5583381652832,55.339298248291016,55.17741394042969
49,49,49,2019-04-16,54.81552505493164,55.42501068115234,55.10123062133789
