,Unnamed: 0,Date,ED
0,0,2019-02-05,64.54210662841797
1,1,2019-02-06,64.2676010131836
2,2,2019-02-07,64.97466278076172
3,3,2019-02-08,65.6567611694336
4,4,2019-02-11,65.69004821777344
5,5,2019-02-12,65.97555541992188
6,6,2019-02-13,65.35417175292969
7,7,2019-02-14,65.53050231933594
8,8,2019-02-15,65.92515563964844
9,9,2019-02-19,66.2274398803711
10,10,2019-02-20,66.34500885009766
11,11,2019-02-21,67.17630767822266
12,12,2019-02-22,68.93968963623047
13,13,2019-02-25,68.53665161132812
14,14,2019-02-26,68.31832122802734
15,15,2019-02-27,68.57025146484375
16,16,2019-02-28,69.23359680175781
17,17,2019-03-01,69.40995025634766
18,18,2019-03-04,69.86335754394531
19,19,2019-03-05,69.63666534423828
20,20,2019-03-06,69.97252655029297
21,21,2019-03-07,69.98092651367188
22,22,2019-03-08,70.38400268554688
23,23,2019-03-11,70.76184844970703
24,24,2019-03-12,71.3160629272461
25,25,2019-03-13,71.5259780883789
26,26,2019-03-14,71.35806274414062
27,27,2019-03-15,71.24049377441406
28,28,2019-03-18,71.12293243408203
29,29,2019-03-19,70.37559509277344
30,30,2019-03-20,70.40079498291016
31,31,2019-03-21,70.86260986328125
32,32,2019-03-22,71.29927825927734
33,33,2019-03-25,71.45880889892578
34,34,2019-03-26,71.94583892822266
35,35,2019-03-27,71.50918579101562
36,36,2019-03-28,70.76184844970703
37,37,2019-03-29,71.21530151367188
38,38,2019-04-01,70.80384063720703
39,39,2019-04-02,71.17332458496094
40,40,2019-04-03,70.90459442138672
41,41,2019-04-04,70.5267333984375
42,42,2019-04-05,71.21530151367188
43,43,2019-04-08,70.35880279541016
44,44,2019-04-09,70.66950988769531
45,45,2019-04-10,70.42599487304688
46,46,2019-04-11,70.92980194091797
47,47,2019-04-12,70.99700164794922
48,48,2019-04-15,71.04736328125
49,49,2019-04-16,70.21605682373047
50,50,2019-04-17,70.451171875
51,51,2019-04-18,70.2076416015625
52,52,2019-04-22,70.4175796508789
53,53,2019-04-23,70.69469451904297
54,54,2019-04-24,70.80384063720703
55,55,2019-04-25,70.97178649902344
56,56,2019-04-26,71.3496322631836
57,57,2019-04-29,70.93820190429688
58,58,2019-04-30,72.3488998413086
59,59,2019-05-01,71.56797790527344
60,60,2019-05-02,71.50918579101562
61,61,2019-05-03,72.23971557617188
62,62,2019-05-06,71.72752380371094
63,63,2019-05-07,71.55117797851562
64,64,2019-05-08,70.47634887695312
65,65,2019-05-09,70.53514862060547
66,66,2019-05-10,71.62676239013672
67,67,2019-05-13,72.24812316894531
68,68,2019-05-14,71.90934753417969
69,69,2019-05-15,72.4260025024414
70,70,2019-05-16,73.15441131591797
71,71,2019-05-17,73.63719940185547
72,72,2019-05-20,73.69649505615234
73,73,2019-05-21,73.42545318603516
74,74,2019-05-22,74.12845611572266
75,75,2019-05-23,74.85684204101562
76,76,2019-05-24,74.65359497070312
77,77,2019-05-28,73.47626495361328
78,78,2019-05-29,72.51070404052734
79,79,2019-05-30,72.20578002929688
80,80,2019-05-31,73.09513092041016
81,81,2019-06-03,74.00139617919922
82,82,2019-06-04,74.13691711425781
83,83,2019-06-05,75.65303039550781
84,84,2019-06-06,75.80547332763672
85,85,2019-06-07,74.79756927490234
86,86,2019-06-10,73.88282012939453
87,87,2019-06-11,73.45085144042969
88,88,2019-06-12,74.29784393310547
89,89,2019-06-13,74.34867095947266
90,90,2019-06-14,74.99238586425781
91,91,2019-06-17,74.64511108398438
92,92,2019-06-18,74.59429931640625
93,93,2019-06-19,75.28036499023438
94,94,2019-06-20,75.28036499023438
95,95,2019-06-21,75.55986022949219
96,96,2019-06-24,75.93253326416016
97,97,2019-06-25,75.33116149902344
98,98,2019-06-26,73.9505844116211
99,99,2019-06-27,73.90824127197266
