,Unnamed: 0.1,Unnamed: 0,Date,STX,STX_6m,STX_12m
0,0,0,2019-02-05,36.29562377929688,,
1,1,1,2019-02-06,36.36798858642578,,
2,2,2,2019-02-07,35.74885177612305,,
3,3,3,2019-02-08,36.19913101196289,,
4,4,4,2019-02-11,35.90163040161133,,
5,5,5,2019-02-12,36.49663925170898,,
6,6,6,2019-02-13,36.77805709838867,36.29562377929688,
7,7,7,2019-02-14,36.80218505859375,36.36798858642578,
8,8,8,2019-02-15,36.753936767578125,35.74885177612305,
9,9,9,2019-02-19,36.8986701965332,36.19913101196289,
10,10,10,2019-02-20,36.8986701965332,35.90163040161133,
11,11,11,2019-02-21,36.27149963378906,36.49663925170898,
12,12,12,2019-02-22,37.79922866821289,36.77805709838867,36.29562377929688
13,13,13,2019-02-25,38.63546371459961,36.80218505859375,36.36798858642578
14,14,14,2019-02-26,38.17713928222656,36.753936767578125,35.74885177612305
15,15,15,2019-02-27,37.64646530151367,36.8986701965332,36.19913101196289
16,16,16,2019-02-28,37.43739700317383,36.8986701965332,35.90163040161133
17,17,17,2019-03-01,37.26854705810547,36.27149963378906,36.49663925170898
18,18,18,2019-03-04,37.324825286865234,37.79922866821289,36.77805709838867
19,19,19,2019-03-05,37.22030258178711,38.63546371459961,36.80218505859375
20,20,20,2019-03-06,37.196170806884766,38.17713928222656,36.753936767578125
21,21,21,2019-03-07,36.335819244384766,37.64646530151367,36.8986701965332
22,22,22,2019-03-08,37.16401290893555,37.43739700317383,36.8986701965332
23,23,23,2019-03-11,39.10181427001953,37.26854705810547,36.27149963378906
24,24,24,2019-03-12,38.65958404541016,37.324825286865234,37.79922866821289
25,25,25,2019-03-13,38.33795166015625,37.22030258178711,38.63546371459961
26,26,26,2019-03-14,37.9439582824707,37.196170806884766,38.17713928222656
27,27,27,2019-03-15,38.33795166015625,36.335819244384766,37.64646530151367
28,28,28,2019-03-18,38.723907470703125,37.16401290893555,37.43739700317383
29,29,29,2019-03-19,38.5039291381836,39.10181427001953,37.26854705810547
30,30,30,2019-03-20,37.64846420288086,38.65958404541016,37.324825286865234
