,Unnamed: 0.1,Unnamed: 0,Date,CCL,CCL_6m,CCL_12m
0,0,0,2019-02-05,55.58500289916992,,
1,1,1,2019-02-06,55.34770584106445,,
2,2,2,2019-02-07,54.06629180908203,,
3,3,3,2019-02-08,53.753055572509766,,
4,4,4,2019-02-11,53.93339920043945,,
5,5,5,2019-02-12,53.69609832763672,,
6,6,6,2019-02-13,54.15171432495117,55.58500289916992,
7,7,7,2019-02-14,54.19917678833008,55.34770584106445,
8,8,8,2019-02-15,54.341556549072266,54.06629180908203,
9,9,9,2019-02-19,55.33821105957031,53.753055572509766,
10,10,10,2019-02-20,55.86026763916016,53.93339920043945,
11,11,11,2019-02-21,55.78368377685547,53.69609832763672,
12,12,12,2019-02-22,56.31021118164063,54.15171432495117,55.58500289916992
13,13,13,2019-02-25,56.07088470458984,54.19917678833008,55.34770584106445
14,14,14,2019-02-26,55.7645378112793,54.341556549072266,54.06629180908203
15,15,15,2019-02-27,55.2188606262207,55.33821105957031,53.753055572509766
16,16,16,2019-02-28,55.295440673828125,55.86026763916016,53.93339920043945
17,17,17,2019-03-01,55.372032165527344,55.78368377685547,53.69609832763672
18,18,18,2019-03-04,54.14665222167969,56.31021118164063,54.15171432495117
19,19,19,2019-03-05,54.67318344116211,56.07088470458984,54.19917678833008
20,20,20,2019-03-06,53.75414276123047,55.7645378112793,54.341556549072266
21,21,21,2019-03-07,53.016998291015625,55.2188606262207,55.33821105957031
22,22,22,2019-03-08,52.62449264526367,55.295440673828125,55.86026763916016
23,23,23,2019-03-11,53.06486129760742,55.372032165527344,55.78368377685547
24,24,24,2019-03-12,52.90211486816406,54.14665222167969,56.31021118164063
25,25,25,2019-03-13,53.69670104980469,54.67318344116211,56.07088470458984
26,26,26,2019-03-14,54.02219772338867,53.75414276123047,55.7645378112793
27,27,27,2019-03-15,54.19451522827149,53.016998291015625,55.2188606262207
28,28,28,2019-03-18,54.90293502807617,52.62449264526367,55.295440673828125
29,29,29,2019-03-19,54.68275451660156,53.06486129760742,55.372032165527344
30,30,30,2019-03-20,54.11792755126953,52.90211486816406,54.14665222167969
31,31,31,2019-03-21,54.81678009033203,53.69670104980469,54.67318344116211
32,32,32,2019-03-22,54.01262283325195,54.02219772338867,53.75414276123047
