,Unnamed: 0,Date,ZTS
0,0,2019-02-05,84.42878723144531
1,1,2019-02-06,84.63172912597656
2,2,2019-02-07,83.30784606933594
3,3,2019-02-08,83.90696716308594
4,4,2019-02-11,83.3658218383789
5,5,2019-02-12,84.5640640258789
6,6,2019-02-13,85.27916717529297
7,7,2019-02-14,90.12049865722656
8,8,2019-02-15,92.1594696044922
9,9,2019-02-19,91.71495819091795
10,10,2019-02-20,91.21245574951172
11,11,2019-02-21,90.32343292236328
12,12,2019-02-22,91.42506408691406
13,13,2019-02-25,91.21245574951172
14,14,2019-02-26,90.34276580810548
15,15,2019-02-27,90.64232635498048
16,16,2019-02-28,91.05786895751952
17,17,2019-03-01,92.52670288085938
18,18,2019-03-04,92.64265441894533
19,19,2019-03-05,92.55567169189452
20,20,2019-03-06,90.9998779296875
21,21,2019-03-07,89.43443298339844
22,22,2019-03-08,89.29912567138672
23,23,2019-03-11,91.54102325439452
24,24,2019-03-12,92.52670288085938
25,25,2019-03-13,93.66698455810548
26,26,2019-03-14,92.96153259277344
27,27,2019-03-15,93.64764404296876
28,28,2019-03-18,94.47868347167967
29,29,2019-03-19,95.39671325683594
30,30,2019-03-20,95.18411254882812
31,31,2019-03-21,96.28572082519533
32,32,2019-03-22,94.63330078125
33,33,2019-03-25,94.63330078125
34,34,2019-03-26,95.49333190917967
35,35,2019-03-27,95.20345306396484
36,36,2019-03-28,96.04415893554688
37,37,2019-03-29,97.2810516357422
38,38,2019-04-01,98.12177276611328
39,39,2019-04-02,98.6049575805664
40,40,2019-04-03,98.6822738647461
41,41,2019-04-04,98.54694366455078
42,42,2019-04-05,98.6822738647461
43,43,2019-04-08,98.78855895996094
44,44,2019-04-09,98.04446411132812
45,45,2019-04-10,97.91886138916016
46,46,2019-04-11,97.65792846679688
47,47,2019-04-12,98.24739074707033
48,48,2019-04-15,97.8511962890625
49,49,2019-04-16,95.83155822753906
50,50,2019-04-17,94.83847045898438
51,51,2019-04-18,95.8547821044922
52,52,2019-04-22,96.90983581542967
53,53,2019-04-23,98.70052337646484
54,54,2019-04-24,97.8584213256836
55,55,2019-04-25,98.56500244140624
56,56,2019-04-26,100.0362777709961
57,57,2019-04-29,98.01329803466795
58,58,2019-04-30,98.5746841430664
59,59,2019-05-01,98.52630615234376
60,60,2019-05-02,99.84269714355467
61,61,2019-05-03,100.42343139648438
62,62,2019-05-06,100.0168914794922
63,63,2019-05-07,98.11976623535156
64,64,2019-05-08,98.59404754638672
65,65,2019-05-09,98.41014099121094
66,66,2019-05-10,99.0102767944336
67,67,2019-05-13,98.10040283203124
68,68,2019-05-14,98.00360870361328
69,69,2019-05-15,98.5746841430664
70,70,2019-05-16,99.62973022460938
71,71,2019-05-17,98.70052337646484
72,72,2019-05-20,98.94251251220705
73,73,2019-05-21,99.09738159179688
74,74,2019-05-22,99.6394271850586
75,75,2019-05-23,99.5910186767578
76,76,2019-05-24,99.11673736572266
77,77,2019-05-28,98.74893188476562
78,78,2019-05-29,97.90682220458984
79,79,2019-05-30,99.04898071289062
80,80,2019-05-31,97.81002807617188
81,81,2019-06-03,100.61703491210938
82,82,2019-06-04,104.65333557128906
83,83,2019-06-05,105.02116394042967
84,84,2019-06-06,105.39864349365234
85,85,2019-06-07,106.5311279296875
86,86,2019-06-10,106.6859893798828
87,87,2019-06-11,106.62792205810548
88,88,2019-06-12,107.86688995361328
89,89,2019-06-13,106.50209045410156
90,90,2019-06-14,107.23771667480467
91,91,2019-06-17,107.25709533691406
92,92,2019-06-18,109.7446746826172
93,93,2019-06-19,110.61580657958984
94,94,2019-06-20,109.34782409667967
95,95,2019-06-21,109.26070404052734
96,96,2019-06-24,109.83179473876952
97,97,2019-06-25,110.20929718017578
98,98,2019-06-26,109.42528533935548
99,99,2019-06-27,109.14456939697266
100,100,2019-06-28,109.85115051269533
101,101,2019-07-01,109.9285888671875
