,Unnamed: 0.1,Unnamed: 0,Date,ETN,ETN_6m,ETN_12m
0,0,0,2019-02-05,68.66951751708984,,
1,1,1,2019-02-06,68.48260498046875,,
2,2,2,2019-02-07,67.96637725830078,,
3,3,3,2019-02-08,67.49462890625,,
4,4,4,2019-02-11,67.31661224365234,,
5,5,5,2019-02-12,68.24229431152344,,
6,6,6,2019-02-13,69.13236999511719,68.66951751708984,
7,7,7,2019-02-14,68.71401977539062,68.48260498046875,
8,8,8,2019-02-15,70.07583618164062,67.96637725830078,
9,9,9,2019-02-19,70.1381607055664,67.49462890625,
10,10,10,2019-02-20,70.95702362060547,67.31661224365234,
11,11,11,2019-02-21,70.9303207397461,68.24229431152344,
12,12,12,2019-02-22,71.90940856933594,69.13236999511719,68.66951751708984
13,13,13,2019-02-25,72.02513122558594,68.71401977539062,68.48260498046875
14,14,14,2019-02-26,71.64237976074219,70.07583618164062,67.96637725830078
15,15,15,2019-02-27,71.77588653564453,70.1381607055664,67.49462890625
16,16,16,2019-02-28,71.00152587890625,70.95702362060547,67.31661224365234
17,17,17,2019-03-01,71.41098022460938,70.9303207397461,68.24229431152344
18,18,18,2019-03-04,72.36334991455078,71.90940856933594,69.13236999511719
19,19,19,2019-03-05,71.91830444335938,72.02513122558594,68.71401977539062
20,20,20,2019-03-06,72.05181121826172,71.64237976074219,70.07583618164062
21,21,21,2019-03-07,71.77345275878906,71.77588653564453,70.1381607055664
22,22,22,2019-03-08,71.27957916259766,71.00152587890625,70.95702362060547
23,23,23,2019-03-11,72.11466979980469,71.41098022460938,70.9303207397461
24,24,24,2019-03-12,72.15958404541016,72.36334991455078,71.90940856933594
25,25,25,2019-03-13,72.36609649658203,71.91830444335938,72.02513122558594
26,26,26,2019-03-14,72.72527313232422,72.05181121826172,71.64237976074219
27,27,27,2019-03-15,72.35712432861328,71.77345275878906,71.77588653564453
28,28,28,2019-03-18,73.72203063964844,71.27957916259766,71.00152587890625
29,29,29,2019-03-19,73.82975769042969,72.11466979980469,71.41098022460938
30,30,30,2019-03-20,72.94078826904297,72.15958404541016,72.36334991455078
31,31,31,2019-03-21,73.64120483398438,72.36609649658203,71.91830444335938
32,32,32,2019-03-22,70.95631408691406,72.72527313232422,72.05181121826172
33,33,33,2019-03-25,70.90243530273438,72.35712432861328,71.77345275878906
34,34,34,2019-03-26,71.40528106689453,73.72203063964844,71.27957916259766
35,35,35,2019-03-27,71.2706069946289,73.82975769042969,72.11466979980469
36,36,36,2019-03-28,71.7105941772461,72.94078826904297,72.15958404541016
37,37,37,2019-03-29,72.33916473388672,73.64120483398438,72.36609649658203
38,38,38,2019-04-01,73.84773254394531,70.95631408691406,72.72527313232422
39,39,39,2019-04-02,74.20691680908203,70.90243530273438,72.35712432861328
40,40,40,2019-04-03,74.4134292602539,71.40528106689453,73.72203063964844
41,41,41,2019-04-04,74.6917953491211,71.2706069946289,73.82975769042969
42,42,42,2019-04-05,74.75466918945312,71.7105941772461,72.94078826904297
43,43,43,2019-04-08,75.14078521728516,72.33916473388672,73.64120483398438
44,44,44,2019-04-09,73.94650268554688,73.84773254394531,70.95631408691406
45,45,45,2019-04-10,74.00936889648438,74.20691680908203,70.90243530273438
46,46,46,2019-04-11,74.51220703125,74.4134292602539,71.40528106689453
47,47,47,2019-04-12,75.32036590576172,74.6917953491211,71.2706069946289
48,48,48,2019-04-15,75.07791900634766,74.75466918945312,71.7105941772461
49,49,49,2019-04-16,75.56281280517578,75.14078521728516,72.33916473388672
50,50,50,2019-04-17,75.8142318725586,73.94650268554688,73.84773254394531
