,Unnamed: 0,Date,EXR
0,0,2019-02-05,82.37030792236328
1,1,2019-02-06,82.55516052246094
2,2,2019-02-07,83.68952178955078
3,3,2019-02-08,84.34490203857422
4,4,2019-02-11,83.99198150634766
5,5,2019-02-12,83.18534088134766
6,6,2019-02-13,83.45423126220703
7,7,2019-02-14,83.16854858398438
8,8,2019-02-15,83.79032897949219
9,9,2019-02-19,83.27777099609375
10,10,2019-02-20,80.6645736694336
11,11,2019-02-21,77.538818359375
12,12,2019-02-22,79.4546127319336
13,13,2019-02-25,78.54714965820312
14,14,2019-02-26,78.55552673339844
15,15,2019-02-27,79.28656768798828
16,16,2019-02-28,80.6141586303711
17,17,2019-03-01,80.31167602539062
18,18,2019-03-04,80.91664123535156
19,19,2019-03-05,82.17704772949219
20,20,2019-03-06,81.71489715576172
21,21,2019-03-07,81.44603729248047
22,22,2019-03-08,81.55524444580078
23,23,2019-03-11,83.09293365478516
24,24,2019-03-12,83.72309875488281
25,25,2019-03-13,84.15164184570312
26,26,2019-03-14,84.7957763671875
27,27,2019-03-15,84.56694793701172
28,28,2019-03-18,84.03300476074219
29,29,2019-03-19,83.84651184082031
30,30,2019-03-20,84.13468170166016
31,31,2019-03-21,85.31275939941406
32,32,2019-03-22,85.2703857421875
33,33,2019-03-25,85.88909149169922
34,34,2019-03-26,86.2704849243164
35,35,2019-03-27,85.72805786132812
36,36,2019-03-28,87.09259033203125
37,37,2019-03-29,86.37218475341797
38,38,2019-04-01,85.75348663330078
39,39,2019-04-02,86.52474212646484
40,40,2019-04-03,86.60950469970703
41,41,2019-04-04,85.53311157226562
42,42,2019-04-05,86.14334869384766
43,43,2019-04-08,84.86356353759766
44,44,2019-04-09,85.59243774414062
45,45,2019-04-10,86.43997955322266
46,46,2019-04-11,86.10943603515625
47,47,2019-04-12,86.60950469970703
48,48,2019-04-15,86.17725372314453
49,49,2019-04-16,84.77881622314453
50,50,2019-04-17,84.5754165649414
51,51,2019-04-18,85.34667205810547
52,52,2019-04-22,84.1092529296875
53,53,2019-04-23,84.82968139648438
54,54,2019-04-24,86.28743743896484
55,55,2019-04-25,86.48235321044922
56,56,2019-04-26,87.7706069946289
57,57,2019-04-29,86.99934387207031
58,58,2019-04-30,87.88080596923828
59,59,2019-05-01,89.83013153076172
60,60,2019-05-02,90.2284698486328
61,61,2019-05-03,90.0759048461914
62,62,2019-05-06,90.05046844482422
63,63,2019-05-07,88.27912902832031
64,64,2019-05-08,87.66043090820312
65,65,2019-05-09,87.96553039550781
66,66,2019-05-10,89.73690032958984
67,67,2019-05-13,91.21160125732422
68,68,2019-05-14,90.37254333496094
69,69,2019-05-15,90.28778076171876
70,70,2019-05-16,90.05046844482422
71,71,2019-05-17,89.83013153076172
72,72,2019-05-20,89.7284164428711
73,73,2019-05-21,90.27082824707033
74,74,2019-05-22,90.05046844482422
75,75,2019-05-23,90.42340850830078
76,76,2019-05-24,90.669189453125
77,77,2019-05-28,89.24533081054688
78,78,2019-05-29,88.79612731933594
79,79,2019-05-30,89.55044555664062
80,80,2019-05-31,90.8217315673828
81,81,2019-06-03,90.72850799560548
82,82,2019-06-04,90.15218353271484
83,83,2019-06-05,92.9999008178711
84,84,2019-06-06,92.30492401123048
