,Unnamed: 0.1,Unnamed: 0,Date,AVB,AVB_6m,AVB_12m
0,0,0,2019-02-05,163.9974365234375,,
1,1,1,2019-02-06,163.54209899902344,,
2,2,2,2019-02-07,164.65509033203125,,
3,3,3,2019-02-08,163.9974365234375,,
4,4,4,2019-02-11,164.46116638183594,,
5,5,5,2019-02-12,163.12049865722656,,
6,6,6,2019-02-13,165.3212127685547,163.9974365234375,
7,7,7,2019-02-14,165.02610778808594,163.54209899902344,
8,8,8,2019-02-15,165.3212127685547,164.65509033203125,
9,9,9,2019-02-19,165.64158630371094,163.9974365234375,
10,10,10,2019-02-20,163.66015625,164.46116638183594,
11,11,11,2019-02-21,165.18630981445312,163.12049865722656,
12,12,12,2019-02-22,165.29591369628906,165.3212127685547,163.9974365234375
13,13,13,2019-02-25,164.0985870361328,165.02610778808594,163.54209899902344
14,14,14,2019-02-26,164.35997009277344,165.3212127685547,164.65509033203125
15,15,15,2019-02-27,163.80349731445312,165.64158630371094,163.9974365234375
16,16,16,2019-02-28,164.10704040527344,163.66015625,164.46116638183594
17,17,17,2019-03-01,163.78662109375,165.18630981445312,163.12049865722656
18,18,18,2019-03-04,164.98388671875,165.29591369628906,165.3212127685547
19,19,19,2019-03-05,165.63316345214844,164.0985870361328,165.02610778808594
20,20,20,2019-03-06,164.81532287597656,164.35997009277344,165.3212127685547
21,21,21,2019-03-07,164.8406219482422,163.80349731445312,165.64158630371094
22,22,22,2019-03-08,165.63316345214844,164.10704040527344,163.66015625
23,23,23,2019-03-11,166.4763641357422,163.78662109375,165.18630981445312
24,24,24,2019-03-12,167.67367553710938,164.98388671875,165.29591369628906
25,25,25,2019-03-13,168.10365295410156,165.63316345214844,164.0985870361328
26,26,26,2019-03-14,168.69387817382812,164.81532287597656,164.35997009277344
27,27,27,2019-03-15,167.7664031982422,164.8406219482422,163.80349731445312
28,28,28,2019-03-18,166.27398681640625,165.63316345214844,164.10704040527344
29,29,29,2019-03-19,165.61630249023438,166.4763641357422,163.78662109375
30,30,30,2019-03-20,165.8186798095703,167.67367553710938,164.98388671875
31,31,31,2019-03-21,167.5218505859375,168.10365295410156,165.63316345214844
32,32,32,2019-03-22,168.2891845703125,168.69387817382812,164.81532287597656
33,33,33,2019-03-25,167.93502807617188,167.7664031982422,164.8406219482422
