,Unnamed: 0.1,Unnamed: 0,Date,LEN,LEN_6m,LEN_12m
0,0,0,2019-02-05,44.28360748291016,,
1,1,1,2019-02-06,43.500091552734375,,
2,2,2,2019-02-07,43.60391998291016,,
3,3,3,2019-02-08,43.452880859375,,
4,4,4,2019-02-11,43.41512680053711,,
5,5,5,2019-02-12,45.88843536376953,,
6,6,6,2019-02-13,45.47306060791016,44.28360748291016,
7,7,7,2019-02-14,45.53915023803711,43.500091552734375,
8,8,8,2019-02-15,46.162208557128906,43.60391998291016,
9,9,9,2019-02-19,46.61532211303711,43.452880859375,
10,10,10,2019-02-20,46.20939254760742,43.41512680053711,
11,11,11,2019-02-21,46.46427917480469,45.88843536376953,
12,12,12,2019-02-22,47.43661880493164,45.47306060791016,44.28360748291016
13,13,13,2019-02-25,46.86076354980469,45.53915023803711,43.500091552734375
14,14,14,2019-02-26,46.69084548950195,46.162208557128906,43.60391998291016
15,15,15,2019-02-27,46.10556411743164,46.61532211303711,43.452880859375
16,16,16,2019-02-28,45.293704986572266,46.20939254760742,43.41512680053711
17,17,17,2019-03-01,44.39689636230469,46.46427917480469,45.88843536376953
18,18,18,2019-03-04,44.93498229980469,47.43661880493164,45.47306060791016
19,19,19,2019-03-05,43.54727554321289,46.86076354980469,45.53915023803711
20,20,20,2019-03-06,43.33015823364258,46.69084548950195,46.162208557128906
21,21,21,2019-03-07,44.88777542114258,46.10556411743164,46.61532211303711
22,22,22,2019-03-08,45.05770492553711,45.293704986572266,46.20939254760742
23,23,23,2019-03-11,45.79402923583984,44.39689636230469,46.46427917480469
24,24,24,2019-03-12,45.84122848510742,44.93498229980469,47.43661880493164
25,25,25,2019-03-13,45.3786735534668,43.54727554321289,46.86076354980469
26,26,26,2019-03-14,45.33146667480469,43.33015823364258,46.69084548950195
27,27,27,2019-03-15,45.05770492553711,44.88777542114258,46.10556411743164
28,28,28,2019-03-18,45.180423736572266,45.05770492553711,45.293704986572266
29,29,29,2019-03-19,43.98152923583984,45.79402923583984,44.39689636230469
30,30,30,2019-03-20,43.63224411010742,45.84122848510742,44.93498229980469
31,31,31,2019-03-21,44.90666580200195,45.3786735534668,43.54727554321289
32,32,32,2019-03-22,45.16156005859375,45.33146667480469,43.33015823364258
33,33,33,2019-03-25,46.77580642700195,45.05770492553711,44.88777542114258
34,34,34,2019-03-26,46.92684555053711,45.180423736572266,45.05770492553711
35,35,35,2019-03-27,48.77710723876953,43.98152923583984,45.79402923583984
36,36,36,2019-03-28,46.97404479980469,43.63224411010742,45.84122848510742
37,37,37,2019-03-29,46.3415641784668,44.90666580200195,45.3786735534668
