,Unnamed: 0,Date,NVDA
0,0,2019-02-05,37.19631576538086
1,1,2019-02-06,37.95289611816406
2,2,2019-02-07,36.568729400634766
3,3,2019-02-08,36.75476837158203
4,4,2019-02-11,36.32811737060547
5,5,2019-02-12,37.49895477294922
6,6,2019-02-13,37.923126220703125
7,7,2019-02-14,38.33242034912109
8,8,2019-02-15,39.02946853637695
9,9,2019-02-19,38.85582733154297
10,10,2019-02-20,39.32962417602539
11,11,2019-02-21,38.64000701904297
12,12,2019-02-22,39.488372802734375
13,13,2019-02-25,39.36434173583984
14,14,2019-02-26,38.96993255615234
15,15,2019-02-27,38.55071258544922
16,16,2019-02-28,38.30488586425781
17,17,2019-03-01,38.84869003295898
18,18,2019-03-04,38.93063735961914
19,19,2019-03-05,38.86607360839844
20,20,2019-03-06,37.756107330322266
21,21,2019-03-07,37.06330871582031
22,22,2019-03-08,37.405982971191406
23,23,2019-03-11,40.013275146484375
24,24,2019-03-12,40.35595703125
25,25,2019-03-13,41.87065887451172
26,26,2019-03-14,41.11082458496094
27,27,2019-03-15,42.16616439819336
28,28,2019-03-18,41.95261764526367
29,29,2019-03-19,43.63122177124024
30,30,2019-03-20,43.30591583251953
31,31,2019-03-21,45.67483901977539
32,32,2019-03-22,44.07569122314453
33,33,2019-03-25,43.151973724365234
34,34,2019-03-26,43.91925430297852
35,35,2019-03-27,43.82737731933594
36,36,2019-03-28,44.01362228393555
37,37,2019-03-29,44.58721923828125
38,38,2019-04-01,45.26262664794922
39,39,2019-04-02,45.44142532348633
40,40,2019-04-03,46.83694076538086
41,41,2019-04-04,46.74755859375
42,42,2019-04-05,47.41551208496094
43,43,2019-04-08,47.62410354614258
44,44,2019-04-09,46.9958610534668
45,45,2019-04-10,47.70108413696289
46,46,2019-04-11,47.5620231628418
47,47,2019-04-12,47.18210220336914
48,48,2019-04-15,45.863555908203125
49,49,2019-04-16,46.735137939453125
50,50,2019-04-17,46.506683349609375
51,51,2019-04-18,46.260860443115234
52,52,2019-04-22,46.79969787597656
53,53,2019-04-23,47.345985412597656
54,54,2019-04-24,47.47014236450195
55,55,2019-04-25,46.412330627441406
56,56,2019-04-26,44.22218704223633
57,57,2019-04-29,44.53011322021485
58,58,2019-04-30,44.944801330566406
59,59,2019-05-01,44.81318664550781
60,60,2019-05-02,45.48860168457031
61,61,2019-05-03,45.44390106201172
62,62,2019-05-06,44.65923309326172
63,63,2019-05-07,42.98560333251953
64,64,2019-05-08,43.18672561645508
65,65,2019-05-09,42.260528564453125
66,66,2019-05-10,41.92033004760742
67,67,2019-05-13,39.3453254699707
68,68,2019-05-14,40.23676300048828
69,69,2019-05-15,39.625919342041016
70,70,2019-05-16,39.77737808227539
71,71,2019-05-17,38.86854934692383
72,72,2019-05-20,37.68162536621094
73,73,2019-05-21,38.5035285949707
74,74,2019-05-22,37.79335784912109
75,75,2019-05-23,36.58158874511719
76,76,2019-05-24,36.04274368286133
77,77,2019-05-28,35.59081268310547
78,78,2019-05-29,34.848350524902344
79,79,2019-05-30,34.58236312866211
