,Unnamed: 0,Date,WM
0,0,2019-02-05,89.09803009033203
1,1,2019-02-06,88.59393310546875
2,2,2019-02-07,88.80474090576172
3,3,2019-02-08,89.29051208496094
4,4,2019-02-11,89.24468231201172
5,5,2019-02-12,90.41787719726562
6,6,2019-02-13,90.3354034423828
7,7,2019-02-14,90.5920181274414
8,8,2019-02-15,90.79364013671876
9,9,2019-02-19,90.81197357177734
10,10,2019-02-20,90.9036636352539
11,11,2019-02-21,91.0319595336914
12,12,2019-02-22,91.40775299072266
13,13,2019-02-25,91.01363372802734
14,14,2019-02-26,91.1327896118164
15,15,2019-02-27,91.87518310546876
16,16,2019-02-28,92.80091857910156
17,17,2019-03-01,92.57176971435548
18,18,2019-03-04,91.87518310546876
19,19,2019-03-05,91.38941955566406
20,20,2019-03-06,91.48107147216795
21,21,2019-03-07,91.85233306884766
22,22,2019-03-08,91.16138458251952
23,23,2019-03-11,91.99053192138672
24,24,2019-03-12,92.59860229492188
25,25,2019-03-13,93.12374114990234
26,26,2019-03-14,93.19742584228516
27,27,2019-03-15,93.02237701416016
28,28,2019-03-18,93.41854858398438
29,29,2019-03-19,93.2895736694336
30,30,2019-03-20,92.8657684326172
31,31,2019-03-21,93.9252471923828
32,32,2019-03-22,93.87916564941406
33,33,2019-03-25,94.13714599609376
34,34,2019-03-26,95.34403228759766
35,35,2019-03-27,94.84652709960938
36,36,2019-03-28,95.28874206542967
37,37,2019-03-29,95.73097229003906
38,38,2019-04-01,95.83230590820312
39,39,2019-04-02,95.81388092041016
40,40,2019-04-03,95.83230590820312
41,41,2019-04-04,93.9713134765625
42,42,2019-04-05,94.15554809570312
43,43,2019-04-08,94.05422973632812
44,44,2019-04-09,93.6396713256836
45,45,2019-04-10,94.82810974121094
46,46,2019-04-11,92.65387725830078
47,47,2019-04-12,93.77783203125
48,48,2019-04-15,96.05342864990234
49,49,2019-04-16,96.21924591064452
50,50,2019-04-17,96.87337493896484
51,51,2019-04-18,97.45378112792967
52,52,2019-04-22,97.42613220214844
53,53,2019-04-23,97.859130859375
54,54,2019-04-24,97.7578125
55,55,2019-04-25,97.21424102783205
56,56,2019-04-26,97.4906234741211
57,57,2019-04-29,98.07103729248048
58,58,2019-04-30,98.8909912109375
59,59,2019-05-01,97.70255279541016
60,60,2019-05-02,97.8130874633789
61,61,2019-05-03,98.02497863769533
62,62,2019-05-06,97.55512237548828
63,63,2019-05-07,96.47721862792967
64,64,2019-05-08,96.56934356689452
65,65,2019-05-09,96.93785858154295
66,66,2019-05-10,98.56853485107422
67,67,2019-05-13,98.11711120605467
68,68,2019-05-14,97.89601135253906
69,69,2019-05-15,98.84490966796876
70,70,2019-05-16,99.49903869628906
71,71,2019-05-17,99.61878204345705
72,72,2019-05-20,99.86756134033205
73,73,2019-05-21,100.68750762939452
74,74,2019-05-22,100.81648254394533
75,75,2019-05-23,100.96388244628906
76,76,2019-05-24,99.89519500732422
77,77,2019-05-28,99.65564727783205
78,78,2019-05-29,98.79885864257812
79,79,2019-05-30,99.87677764892578
80,80,2019-05-31,100.7427749633789
81,81,2019-06-03,102.6037826538086
82,82,2019-06-04,102.67748260498048
