,Unnamed: 0.1,Unnamed: 0,Date,DUK,DUK_6m,DUK_12m
0,0,0,2019-02-05,72.03887176513672,,
1,1,1,2019-02-06,72.00631713867188,,
2,2,2,2019-02-07,72.8365707397461,,
3,3,3,2019-02-08,73.50405883789062,,
4,4,4,2019-02-11,73.39822387695312,,
5,5,5,2019-02-12,73.44707489013672,,
6,6,6,2019-02-13,72.9261245727539,72.03887176513672,
7,7,7,2019-02-14,72.23355102539062,72.00631713867188,
8,8,8,2019-02-15,71.97857666015625,72.8365707397461,
9,9,9,2019-02-19,72.33226013183594,73.50405883789062,
10,10,10,2019-02-20,73.08074951171875,73.39822387695312,
11,11,11,2019-02-21,73.68942260742188,73.44707489013672,
12,12,12,2019-02-22,73.95262908935547,72.9261245727539,72.03887176513672
13,13,13,2019-02-25,73.59893798828125,72.23355102539062,72.00631713867188
14,14,14,2019-02-26,73.10543823242188,71.97857666015625,72.8365707397461
15,15,15,2019-02-27,73.43443298339844,72.33226013183594,73.50405883789062
16,16,16,2019-02-28,73.74700927734375,73.08074951171875,73.39822387695312
17,17,17,2019-03-01,73.64006805419922,73.68942260742188,73.44707489013672
18,18,18,2019-03-04,73.92793273925781,73.95262908935547,72.9261245727539
19,19,19,2019-03-05,73.64006805419922,73.59893798828125,72.23355102539062
20,20,20,2019-03-06,73.6729736328125,73.10543823242188,71.97857666015625
21,21,21,2019-03-07,73.6811752319336,73.43443298339844,72.33226013183594
22,22,22,2019-03-08,74.19114685058594,73.74700927734375,73.08074951171875
23,23,23,2019-03-11,74.32275390625,73.64006805419922,73.68942260742188
24,24,24,2019-03-12,74.44612884521484,73.92793273925781,73.95262908935547
25,25,25,2019-03-13,74.48725891113281,73.64006805419922,73.59893798828125
26,26,26,2019-03-14,74.32275390625,73.6729736328125,73.10543823242188
27,27,27,2019-03-15,74.56127166748047,73.6811752319336,73.43443298339844
28,28,28,2019-03-18,74.07600402832031,74.19114685058594,73.74700927734375
29,29,29,2019-03-19,73.3028335571289,74.32275390625,73.64006805419922
30,30,30,2019-03-20,73.51669311523438,74.44612884521484,73.92793273925781
31,31,31,2019-03-21,73.95262908935547,74.48725891113281,73.64006805419922
32,32,32,2019-03-22,74.60240936279297,74.32275390625,73.6729736328125
33,33,33,2019-03-25,74.65998077392578,74.56127166748047,73.6811752319336
34,34,34,2019-03-26,75.28510284423828,74.07600402832031,74.19114685058594
35,35,35,2019-03-27,74.42146301269531,73.3028335571289,74.32275390625
36,36,36,2019-03-28,73.51669311523438,73.51669311523438,74.44612884521484
37,37,37,2019-03-29,74.0266342163086,73.95262908935547,74.48725891113281
38,38,38,2019-04-01,73.43443298339844,74.60240936279297,74.32275390625
39,39,39,2019-04-02,73.31103515625,74.65998077392578,74.56127166748047
40,40,40,2019-04-03,73.08074951171875,75.28510284423828,74.07600402832031
41,41,41,2019-04-04,73.49200439453125,74.42146301269531,73.3028335571289
42,42,42,2019-04-05,74.46257019042969,73.51669311523438,73.51669311523438
43,43,43,2019-04-08,74.11712646484375,74.0266342163086,73.95262908935547
44,44,44,2019-04-09,74.2322769165039,73.43443298339844,74.60240936279297
45,45,45,2019-04-10,73.97730255126953,73.31103515625,74.65998077392578
46,46,46,2019-04-11,74.24050903320312,73.08074951171875,75.28510284423828
47,47,47,2019-04-12,74.39677429199219,73.49200439453125,74.42146301269531
48,48,48,2019-04-15,74.3885726928711,74.46257019042969,73.51669311523438
49,49,49,2019-04-16,73.27815246582031,74.11712646484375,74.0266342163086
50,50,50,2019-04-17,73.25349426269531,74.2322769165039,73.43443298339844
51,51,51,2019-04-18,73.31927490234375,73.97730255126953,73.31103515625
52,52,52,2019-04-22,72.9820556640625,74.24050903320312,73.08074951171875
53,53,53,2019-04-23,73.21234893798828,74.39677429199219,73.49200439453125
54,54,54,2019-04-24,73.7634506225586,74.3885726928711,74.46257019042969
55,55,55,2019-04-25,74.39677429199219,73.27815246582031,74.11712646484375
56,56,56,2019-04-26,74.28984069824219,73.25349426269531,74.2322769165039
57,57,57,2019-04-29,73.6811752319336,73.31927490234375,73.97730255126953
58,58,58,2019-04-30,74.94786834716797,72.9820556640625,74.24050903320312
59,59,59,2019-05-01,74.3638916015625,73.21234893798828,74.39677429199219
60,60,60,2019-05-02,73.87036895751953,73.7634506225586,74.3885726928711
61,61,61,2019-05-03,74.15824890136719,74.39677429199219,73.27815246582031
62,62,62,2019-05-06,73.59893798828125,74.28984069824219,73.25349426269531
63,63,63,2019-05-07,73.41796875,73.6811752319336,73.31927490234375
64,64,64,2019-05-08,72.21710968017578,74.94786834716797,72.9820556640625
65,65,65,2019-05-09,71.41925811767578,74.3638916015625,73.21234893798828
66,66,66,2019-05-10,72.37337493896484,73.87036895751953,73.7634506225586
67,67,67,2019-05-13,72.4227523803711,74.15824890136719,74.39677429199219
68,68,68,2019-05-14,71.56732177734375,73.59893798828125,74.28984069824219
69,69,69,2019-05-15,71.38634490966797,73.41796875,73.6811752319336
70,70,70,2019-05-16,71.70062255859375,72.21710968017578,74.94786834716797
71,71,71,2019-05-17,72.498779296875,71.41925811767578,74.3638916015625
72,72,72,2019-05-20,72.29925537109375,72.37337493896484,73.87036895751953
73,73,73,2019-05-21,72.39900207519531,72.4227523803711,74.15824890136719
74,74,74,2019-05-22,73.00595092773438,71.56732177734375,73.59893798828125
75,75,75,2019-05-23,73.91217803955078,71.38634490966797,73.41796875
76,76,76,2019-05-24,73.83734893798828,71.70062255859375,72.21710968017578
77,77,77,2019-05-28,72.43228912353516,72.498779296875,71.41925811767578
78,78,78,2019-05-29,71.3431167602539,72.29925537109375,72.37337493896484
79,79,79,2019-05-30,71.11031341552734,72.39900207519531,72.4227523803711
80,80,80,2019-05-31,71.17684936523438,73.00595092773438,71.56732177734375
81,81,81,2019-06-03,71.51771545410156,73.91217803955078,71.38634490966797
82,82,82,2019-06-04,71.4179458618164,73.83734893798828,71.70062255859375
83,83,83,2019-06-05,72.51541900634766,72.43228912353516,72.498779296875
84,84,84,2019-06-06,72.92282104492188,71.3431167602539,72.29925537109375
85,85,85,2019-06-07,72.36576080322266,71.11031341552734,72.39900207519531
86,86,86,2019-06-10,71.74220275878906,71.17684936523438,73.00595092773438
87,87,87,2019-06-11,71.20179748535156,71.51771545410156,73.91217803955078
88,88,88,2019-06-12,72.04151153564453,71.4179458618164,73.83734893798828
89,89,89,2019-06-13,72.14128112792969,72.51541900634766,72.43228912353516
90,90,90,2019-06-14,73.05583190917969,72.92282104492188,71.3431167602539
91,91,91,2019-06-17,73.1223373413086,72.36576080322266,71.11031341552734
92,92,92,2019-06-18,72.53204345703125,71.74220275878906,71.17684936523438
93,93,93,2019-06-19,72.87293243408203,71.20179748535156,71.51771545410156
94,94,94,2019-06-20,73.64612579345703,72.04151153564453,71.4179458618164
95,95,95,2019-06-21,74.43596649169922,72.14128112792969,72.51541900634766
96,96,96,2019-06-24,74.75191497802734,73.05583190917969,72.92282104492188
97,97,97,2019-06-25,74.92649841308594,73.1223373413086,72.36576080322266
98,98,98,2019-06-26,73.14728546142578,72.53204345703125,71.74220275878906
99,99,99,2019-06-27,73.6211929321289,72.87293243408203,71.20179748535156
