,Unnamed: 0,Date,AZO
0,0,2019-02-05,869.4199829101562
1,1,2019-02-06,868.0800170898438
2,2,2019-02-07,878.77001953125
3,3,2019-02-08,874.0800170898438
4,4,2019-02-11,887.9099731445312
5,5,2019-02-12,890.9000244140625
6,6,2019-02-13,891.3599853515625
7,7,2019-02-14,904.9600219726562
8,8,2019-02-15,919.75
9,9,2019-02-19,916.6799926757812
10,10,2019-02-20,921.1400146484376
11,11,2019-02-21,906.3300170898438
12,12,2019-02-22,911.6599731445312
13,13,2019-02-25,889.5999755859375
14,14,2019-02-26,935.0
15,15,2019-02-27,911.9299926757812
16,16,2019-02-28,938.969970703125
17,17,2019-03-01,929.3200073242188
18,18,2019-03-04,932.9500122070312
19,19,2019-03-05,939.8300170898438
20,20,2019-03-06,935.3499755859376
21,21,2019-03-07,940.5499877929688
22,22,2019-03-08,934.72998046875
23,23,2019-03-11,940.030029296875
24,24,2019-03-12,934.6099853515624
25,25,2019-03-13,940.5800170898438
26,26,2019-03-14,950.219970703125
27,27,2019-03-15,962.22998046875
28,28,2019-03-18,975.5900268554688
29,29,2019-03-19,978.989990234375
30,30,2019-03-20,980.97998046875
31,31,2019-03-21,1001.0900268554688
32,32,2019-03-22,981.27001953125
33,33,2019-03-25,995.8599853515624
34,34,2019-03-26,997.3099975585938
35,35,2019-03-27,1003.2000122070312
36,36,2019-03-28,1005.1699829101562
37,37,2019-03-29,1024.1199951171875
38,38,2019-04-01,1029.7099609375
39,39,2019-04-02,1041.97998046875
40,40,2019-04-03,1045.530029296875
41,41,2019-04-04,1040.68994140625
42,42,2019-04-05,1048.52001953125
43,43,2019-04-08,1052.5400390625
44,44,2019-04-09,1040.4000244140625
45,45,2019-04-10,1060.1700439453125
46,46,2019-04-11,1068.5699462890625
47,47,2019-04-12,1060.300048828125
48,48,2019-04-15,1064.5899658203125
49,49,2019-04-16,1061.5899658203125
50,50,2019-04-17,1051.3699951171875
51,51,2019-04-18,1045.050048828125
52,52,2019-04-22,1035.199951171875
53,53,2019-04-23,1047.760009765625
54,54,2019-04-24,1042.5999755859375
55,55,2019-04-25,1042.3499755859375
56,56,2019-04-26,1033.550048828125
57,57,2019-04-29,1022.5
58,58,2019-04-30,1028.31005859375
59,59,2019-05-01,1023.9000244140624
60,60,2019-05-02,1038.31005859375
61,61,2019-05-03,1033.3800048828125
62,62,2019-05-06,1030.6400146484375
63,63,2019-05-07,1015.3599853515624
64,64,2019-05-08,1005.5999755859376
65,65,2019-05-09,1004.47998046875
66,66,2019-05-10,1000.5900268554688
67,67,2019-05-13,982.5599975585938
68,68,2019-05-14,989.7999877929688
69,69,2019-05-15,978.3599853515624
70,70,2019-05-16,981.3400268554688
71,71,2019-05-17,984.0900268554688
72,72,2019-05-20,977.8300170898438
73,73,2019-05-21,1032.25
74,74,2019-05-22,1043.9300537109375
75,75,2019-05-23,1034.8199462890625
76,76,2019-05-24,1052.18994140625
77,77,2019-05-28,1051.1400146484375
78,78,2019-05-29,1027.5400390625
79,79,2019-05-30,1045.2900390625
80,80,2019-05-31,1027.1099853515625
81,81,2019-06-03,1037.6500244140625
82,82,2019-06-04,1036.27001953125
83,83,2019-06-05,1068.8900146484375
84,84,2019-06-06,1090.5400390625
85,85,2019-06-07,1099.1400146484375
86,86,2019-06-10,1111.22998046875
87,87,2019-06-11,1095.3900146484375
88,88,2019-06-12,1106.77001953125
89,89,2019-06-13,1113.949951171875
90,90,2019-06-14,1119.8699951171875
91,91,2019-06-17,1124.3599853515625
92,92,2019-06-18,1126.0
93,93,2019-06-19,1122.6500244140625
94,94,2019-06-20,1128.199951171875
95,95,2019-06-21,1118.469970703125
96,96,2019-06-24,1110.949951171875
97,97,2019-06-25,1097.8299560546875
98,98,2019-06-26,1086.5999755859375
99,99,2019-06-27,1084.0799560546875
100,100,2019-06-28,1099.469970703125
101,101,2019-07-01,1098.7900390625
102,102,2019-07-02,1115.47998046875
103,103,2019-07-03,1130.3800048828125
104,104,2019-07-05,1130.31005859375
105,105,2019-07-08,1144.219970703125
106,106,2019-07-09,1143.0899658203125
107,107,2019-07-10,1148.469970703125
108,108,2019-07-11,1148.9100341796875
109,109,2019-07-12,1164.7099609375
