,Unnamed: 0,Date,EG
0,0,2019-02-05,197.3493804931641
1,1,2019-02-06,199.00552368164065
2,2,2019-02-07,199.18453979492188
3,3,2019-02-08,198.55792236328125
4,4,2019-02-11,197.2867431640625
5,5,2019-02-12,190.1339569091797
6,6,2019-02-13,191.9960021972656
7,7,2019-02-14,191.61106872558597
8,8,2019-02-15,194.19821166992188
9,9,2019-02-19,196.56153869628903
10,10,2019-02-20,198.4235992431641
11,11,2019-02-21,199.4620819091797
12,12,2019-02-22,200.44683837890625
13,13,2019-02-25,199.81121826171875
14,14,2019-02-26,199.4620819091797
15,15,2019-02-27,200.78695678710935
16,16,2019-02-28,202.416259765625
17,17,2019-03-01,201.77169799804688
18,18,2019-03-04,201.31517028808597
19,19,2019-03-05,200.9097900390625
20,20,2019-03-06,200.08102416992188
21,21,2019-03-07,196.5047912597656
22,22,2019-03-08,195.2796630859375
23,23,2019-03-11,196.31561279296875
24,24,2019-03-12,196.58587646484372
25,25,2019-03-13,196.6579742431641
26,26,2019-03-14,197.28851318359372
27,27,2019-03-15,197.3245391845703
28,28,2019-03-18,198.5316467285156
29,29,2019-03-19,197.1803741455078
30,30,2019-03-20,190.9286956787109
31,31,2019-03-21,194.108642578125
32,32,2019-03-22,193.6671905517578
33,33,2019-03-25,193.49603271484372
34,34,2019-03-26,194.108642578125
35,35,2019-03-27,193.36090087890625
36,36,2019-03-28,194.00949096679688
37,37,2019-03-29,194.54098510742188
38,38,2019-04-01,195.775146484375
39,39,2019-04-02,193.5771026611328
40,40,2019-04-03,194.703125
41,41,2019-04-04,193.9374237060547
42,42,2019-04-05,194.8562774658203
43,43,2019-04-08,196.3245849609375
44,44,2019-04-09,193.39694213867188
45,45,2019-04-10,195.3066864013672
46,46,2019-04-11,199.90087890625
47,47,2019-04-12,203.8914794921875
48,48,2019-04-15,203.77438354492188
49,49,2019-04-16,206.55795288085935
50,50,2019-04-17,206.0084228515625
51,51,2019-04-18,206.3236846923828
52,52,2019-04-22,205.8462829589844
53,53,2019-04-23,206.9812774658203
54,54,2019-04-24,208.34153747558597
55,55,2019-04-25,205.83729553222656
56,56,2019-04-26,207.828125
57,57,2019-04-29,208.3685760498047
58,58,2019-04-30,212.1430206298828
59,59,2019-05-01,213.0077667236328
60,60,2019-05-02,213.3050842285156
61,61,2019-05-03,214.98960876464844
62,62,2019-05-06,214.2058868408203
63,63,2019-05-07,222.40333557128903
64,64,2019-05-08,217.8992462158203
65,65,2019-05-09,221.29534912109372
66,66,2019-05-10,224.0698699951172
67,67,2019-05-13,222.1060791015625
68,68,2019-05-14,223.8086395263672
69,69,2019-05-15,223.637451171875
70,70,2019-05-16,224.6824188232422
71,71,2019-05-17,223.637451171875
72,72,2019-05-20,224.76345825195312
73,73,2019-05-21,224.60134887695312
74,74,2019-05-22,225.5021514892578
75,75,2019-05-23,226.6461944580078
76,76,2019-05-24,225.1238250732422
77,77,2019-05-28,219.85403442382807
78,78,2019-05-29,220.36749267578125
79,79,2019-05-30,221.07916259765625
80,80,2019-05-31,223.0969696044922
81,81,2019-06-03,226.9434814453125
82,82,2019-06-04,223.6464691162109
83,83,2019-06-05,228.1865997314453
84,84,2019-06-06,227.8262634277344
85,85,2019-06-07,227.592041015625
86,86,2019-06-10,227.15969848632807
87,87,2019-06-11,224.3491058349609
88,88,2019-06-12,225.4571228027344
89,89,2019-06-13,225.3039703369141
90,90,2019-06-14,226.1507568359375
91,91,2019-06-17,225.34906005859372
92,92,2019-06-18,225.33099365234372
93,93,2019-06-19,226.97052001953125
94,94,2019-06-20,227.510986328125
95,95,2019-06-21,225.34002685546875
96,96,2019-06-24,226.56512451171875
97,97,2019-06-25,226.38497924804688
