,Unnamed: 0,Date,FIS
0,0,2019-02-05,100.30607604980467
1,1,2019-02-06,100.1235122680664
2,2,2019-02-07,99.18344116210938
3,3,2019-02-08,99.484619140625
4,4,2019-02-11,99.57589721679688
5,5,2019-02-12,97.2485122680664
6,6,2019-02-13,97.4675750732422
7,7,2019-02-14,97.02033233642578
8,8,2019-02-15,99.42074584960938
9,9,2019-02-19,99.2199478149414
10,10,2019-02-20,97.71399688720705
11,11,2019-02-21,97.7687530517578
12,12,2019-02-22,97.74137115478516
13,13,2019-02-25,97.4675750732422
14,14,2019-02-26,97.48580932617188
15,15,2019-02-27,97.85089111328124
16,16,2019-02-28,98.7088394165039
17,17,2019-03-01,98.92789459228516
18,18,2019-03-04,97.95128631591795
19,19,2019-03-05,97.55884552001952
20,20,2019-03-06,97.29415130615234
21,21,2019-03-07,96.42707061767578
22,22,2019-03-08,96.4818344116211
23,23,2019-03-11,97.69573211669922
24,24,2019-03-12,97.99693298339844
25,25,2019-03-13,98.20685577392578
26,26,2019-03-14,98.69217681884766
27,27,2019-03-15,99.69940948486328
28,28,2019-03-18,99.00350189208984
29,29,2019-03-19,97.61166381835938
30,30,2019-03-20,97.74901580810548
31,31,2019-03-21,100.87150573730467
32,32,2019-03-22,101.10040283203124
33,33,2019-03-25,99.27820587158205
34,34,2019-03-26,100.64254760742188
35,35,2019-03-27,100.697509765625
36,36,2019-03-28,101.80548095703124
37,37,2019-03-29,103.56358337402344
38,38,2019-04-01,104.1862564086914
39,39,2019-04-02,104.49758911132812
40,40,2019-04-03,105.23928833007812
41,41,2019-04-04,104.4151611328125
42,42,2019-04-05,103.82913208007812
43,43,2019-04-08,104.06722259521484
44,44,2019-04-09,104.16793823242188
45,45,2019-04-10,102.904296875
46,46,2019-04-11,103.38046264648438
47,47,2019-04-12,103.6185302734375
48,48,2019-04-15,103.60023498535156
49,49,2019-04-16,102.17176055908205
50,50,2019-04-17,101.73223114013672
51,51,2019-04-18,101.53993225097656
52,52,2019-04-22,102.74862670898438
53,53,2019-04-23,103.28890228271484
54,54,2019-04-24,102.5929718017578
55,55,2019-04-25,102.144287109375
56,56,2019-04-26,101.54908752441406
57,57,2019-04-29,102.1351318359375
58,58,2019-04-30,106.1549835205078
59,59,2019-05-01,105.50482940673828
60,60,2019-05-02,107.8672866821289
61,61,2019-05-03,107.8306655883789
62,62,2019-05-06,107.42777252197266
63,63,2019-05-07,106.11833953857422
64,64,2019-05-08,106.3472671508789
65,65,2019-05-09,106.10002899169922
66,66,2019-05-10,106.87834930419922
67,67,2019-05-13,105.71544647216795
68,68,2019-05-14,107.06148529052734
69,69,2019-05-15,107.3636703491211
70,70,2019-05-16,109.05767822265624
71,71,2019-05-17,108.7188720703125
72,72,2019-05-20,108.3434600830078
73,73,2019-05-21,110.2572250366211
74,74,2019-05-22,110.79747009277344
75,75,2019-05-23,110.2572250366211
76,76,2019-05-24,108.72804260253906
77,77,2019-05-28,109.28659057617188
78,78,2019-05-29,109.03020477294922
79,79,2019-05-30,109.4697265625
80,80,2019-05-31,110.156494140625
81,81,2019-06-03,106.74099731445312
82,82,2019-06-04,110.10154724121094
83,83,2019-06-05,111.52085876464844
84,84,2019-06-06,111.31941223144533
85,85,2019-06-07,112.20762634277344
86,86,2019-06-10,111.97870635986328
87,87,2019-06-11,111.4292984008789
88,88,2019-06-12,110.75167083740234
89,89,2019-06-13,110.97209930419922
90,90,2019-06-14,111.4863510131836
91,91,2019-06-17,111.60575103759766
92,92,2019-06-18,112.6067352294922
93,93,2019-06-19,113.22203063964844
94,94,2019-06-20,113.76382446289062
95,95,2019-06-21,112.68019104003906
96,96,2019-06-24,111.3210678100586
97,97,2019-06-25,111.35780334472656
98,98,2019-06-26,111.36697387695312
99,99,2019-06-27,111.43125915527344
100,100,2019-06-28,112.66184997558594
101,101,2019-07-01,114.39749145507812
102,102,2019-07-02,114.70975494384766
103,103,2019-07-03,116.28008270263672
