,Unnamed: 0,Date,IDXX
0,0,2019-02-05,207.97999572753903
1,1,2019-02-06,208.8300018310547
2,2,2019-02-07,206.80999755859372
3,3,2019-02-08,207.7400054931641
4,4,2019-02-11,206.63999938964844
5,5,2019-02-12,209.5
6,6,2019-02-13,210.38999938964844
7,7,2019-02-14,206.94000244140625
8,8,2019-02-15,210.25999450683597
9,9,2019-02-19,211.32000732421875
10,10,2019-02-20,211.44000244140625
11,11,2019-02-21,205.9900054931641
12,12,2019-02-22,209.17999267578125
13,13,2019-02-25,210.1000061035156
14,14,2019-02-26,207.7400054931641
15,15,2019-02-27,208.97000122070312
16,16,2019-02-28,211.02999877929688
17,17,2019-03-01,215.92999267578125
18,18,2019-03-04,213.41000366210935
19,19,2019-03-05,210.8000030517578
20,20,2019-03-06,207.80999755859372
21,21,2019-03-07,203.88999938964844
22,22,2019-03-08,201.7400054931641
23,23,2019-03-11,204.72000122070312
24,24,2019-03-12,205.97000122070312
25,25,2019-03-13,209.88999938964844
26,26,2019-03-14,210.8699951171875
27,27,2019-03-15,216.2100067138672
28,28,2019-03-18,215.7400054931641
29,29,2019-03-19,218.3000030517578
30,30,2019-03-20,219.2700042724609
31,31,2019-03-21,225.69000244140625
32,32,2019-03-22,219.42999267578125
33,33,2019-03-25,219.2400054931641
34,34,2019-03-26,220.0
35,35,2019-03-27,218.83999633789065
36,36,2019-03-28,220.55999755859372
37,37,2019-03-29,223.6000061035156
38,38,2019-04-01,225.1199951171875
39,39,2019-04-02,224.9199981689453
40,40,2019-04-03,227.5800018310547
41,41,2019-04-04,225.92999267578125
42,42,2019-04-05,227.7700042724609
43,43,2019-04-08,227.75
44,44,2019-04-09,224.77999877929688
45,45,2019-04-10,224.5200042724609
46,46,2019-04-11,223.75999450683597
47,47,2019-04-12,225.32000732421875
48,48,2019-04-15,225.22000122070312
49,49,2019-04-16,222.1699981689453
50,50,2019-04-17,215.52999877929688
51,51,2019-04-18,218.4900054931641
52,52,2019-04-22,221.58999633789065
53,53,2019-04-23,224.4499969482422
54,54,2019-04-24,224.5800018310547
55,55,2019-04-25,227.6699981689453
56,56,2019-04-26,232.47000122070312
57,57,2019-04-29,230.67999267578125
58,58,2019-04-30,232.0
59,59,2019-05-01,234.05999755859372
60,60,2019-05-02,242.33999633789065
61,61,2019-05-03,250.47000122070312
62,62,2019-05-06,251.8800048828125
63,63,2019-05-07,245.4499969482422
64,64,2019-05-08,245.7899932861328
65,65,2019-05-09,246.22000122070312
66,66,2019-05-10,247.8300018310547
67,67,2019-05-13,242.6199951171875
68,68,2019-05-14,246.17999267578125
69,69,2019-05-15,249.5500030517578
70,70,2019-05-16,251.97000122070312
71,71,2019-05-17,249.55999755859372
72,72,2019-05-20,248.5399932861328
73,73,2019-05-21,249.3300018310547
74,74,2019-05-22,250.3800048828125
75,75,2019-05-23,253.57000732421875
76,76,2019-05-24,256.1099853515625
77,77,2019-05-28,246.8500061035156
78,78,2019-05-29,247.4499969482422
79,79,2019-05-30,249.6999969482422
80,80,2019-05-31,249.7700042724609
81,81,2019-06-03,245.58999633789065
82,82,2019-06-04,252.8800048828125
83,83,2019-06-05,256.6000061035156
84,84,2019-06-06,259.67999267578125
85,85,2019-06-07,264.9200134277344
86,86,2019-06-10,268.4700012207031
87,87,2019-06-11,263.92999267578125
88,88,2019-06-12,265.04998779296875
89,89,2019-06-13,267.1600036621094
90,90,2019-06-14,267.739990234375
91,91,2019-06-17,268.25
92,92,2019-06-18,269.7200012207031
93,93,2019-06-19,274.2799987792969
