,Unnamed: 0.1,Unnamed: 0,Date,CARR,CARR_6m,CARR_12m
0,0,0,2020-03-19,11.393549919128418,,
1,1,1,2020-03-20,12.105646133422852,,
2,2,2,2020-03-23,10.956794738769531,,
3,3,3,2020-03-24,11.108709335327148,,
4,4,4,2020-03-25,12.770269393920898,,
5,5,5,2020-03-26,14.669195175170898,,
6,6,6,2020-03-27,13.814679145812988,11.393549919128418,
7,7,7,2020-03-30,15.096453666687012,12.105646133422852,
8,8,8,2020-03-31,16.37822914123535,10.956794738769531,
9,9,9,2020-04-01,14.289410591125488,11.108709335327148,
10,10,10,2020-04-02,12.608860969543455,12.770269393920898,
11,11,11,2020-04-03,16.06490707397461,14.669195175170898,
12,12,12,2020-04-06,14.659701347351074,13.814679145812988,11.393549919128418
13,13,13,2020-04-07,14.479303359985352,15.096453666687012,12.105646133422852
14,14,14,2020-04-08,13.539335250854492,16.37822914123535,10.956794738769531
15,15,15,2020-04-09,14.033055305480955,14.289410591125488,11.108709335327148
16,16,16,2020-04-13,13.28297996520996,12.608860969543455,12.770269393920898
17,17,17,2020-04-14,13.169045448303224,16.06490707397461,14.669195175170898
18,18,18,2020-04-15,12.684818267822266,14.659701347351074,13.814679145812988
19,19,19,2020-04-16,12.238570213317873,14.479303359985352,15.096453666687012
20,20,20,2020-04-17,13.045613288879396,13.539335250854492,16.37822914123535
21,21,21,2020-04-20,13.719732284545898,14.033055305480955,14.289410591125488
22,22,22,2020-04-21,13.947602272033691,13.28297996520996,12.608860969543455
23,23,23,2020-04-22,14.04254913330078,13.169045448303224,16.06490707397461
24,24,24,2020-04-23,14.925549507141112,12.684818267822266,14.659701347351074
25,25,25,2020-04-24,15.428766250610352,12.238570213317873,14.479303359985352
26,26,26,2020-04-27,15.950967788696287,13.045613288879396,13.539335250854492
27,27,27,2020-04-28,16.14086151123047,13.719732284545898,14.033055305480955
28,28,28,2020-04-29,16.748519897460938,13.947602272033691,13.28297996520996
29,29,29,2020-04-30,16.81498146057129,14.04254913330078,13.169045448303224
30,30,30,2020-05-01,15.922486305236816,14.925549507141112,12.684818267822266
31,31,31,2020-05-04,15.571184158325195,15.428766250610352,12.238570213317873
32,32,32,2020-05-05,15.16291618347168,15.950967788696287,13.045613288879396
33,33,33,2020-05-06,15.46674346923828,16.14086151123047,13.719732284545898
34,34,34,2020-05-07,15.58067798614502,16.748519897460938,13.947602272033691
35,35,35,2020-05-08,17.432132720947266,16.81498146057129,14.04254913330078
36,36,36,2020-05-11,17.422636032104492,15.922486305236816,14.925549507141112
37,37,37,2020-05-12,16.900436401367188,15.571184158325195,15.428766250610352
38,38,38,2020-05-13,15.60916519165039,15.16291618347168,15.950967788696287
39,39,39,2020-05-14,15.713603019714355,15.46674346923828,16.14086151123047
40,40,40,2020-05-15,15.865517616271973,15.58067798614502,16.748519897460938
41,41,41,2020-05-18,16.663068771362305,17.432132720947266,16.81498146057129
42,42,42,2020-05-19,16.871952056884766,17.422636032104492,15.922486305236816
43,43,43,2020-05-20,17.78343391418457,16.900436401367188,15.571184158325195
44,44,44,2020-05-21,18.46704864501953,15.60916519165039,15.16291618347168
45,45,45,2020-05-22,18.08726119995117,15.713603019714355,15.46674346923828
46,46,46,2020-05-26,18.52401161193848,15.865517616271973,15.58067798614502
47,47,47,2020-05-27,18.97975349426269,16.663068771362305,17.432132720947266
48,48,48,2020-05-28,18.609468460083008,16.871952056884766,17.422636032104492
49,49,49,2020-05-29,19.43549346923828,17.78343391418457,16.900436401367188
50,50,50,2020-06-01,20.717269897460938,18.46704864501953,15.60916519165039
51,51,51,2020-06-02,20.28051948547364,18.08726119995117,15.713603019714355
52,52,52,2020-06-03,21.097055435180664,18.52401161193848,15.865517616271973
53,53,53,2020-06-04,21.5338077545166,18.97975349426269,16.663068771362305
54,54,54,2020-06-05,22.36933708190918,18.609468460083008,16.871952056884766
55,55,55,2020-06-08,23.13840675354004,19.43549346923828,17.78343391418457
56,56,56,2020-06-09,22.037023544311523,20.717269897460938,18.46704864501953
57,57,57,2020-06-10,21.078067779541016,20.28051948547364,18.08726119995117
58,58,58,2020-06-11,19.995681762695312,21.097055435180664,18.52401161193848
59,59,59,2020-06-12,20.45142364501953,21.5338077545166,18.97975349426269
60,60,60,2020-06-15,20.85968780517578,22.36933708190918,18.609468460083008
61,61,61,2020-06-16,20.95463752746582,23.13840675354004,19.43549346923828
62,62,62,2020-06-17,20.185571670532227,22.037023544311523,20.717269897460938
63,63,63,2020-06-18,20.17607879638672,21.078067779541016,20.28051948547364
64,64,64,2020-06-19,20.36596870422364,19.995681762695312,21.097055435180664
65,65,65,2020-06-22,21.59077453613281,20.45142364501953,21.5338077545166
66,66,66,2020-06-23,21.258464813232425,20.85968780517578,22.36933708190918
67,67,67,2020-06-24,20.717269897460938,20.95463752746582,23.13840675354004
68,68,68,2020-06-25,20.50761985778809,20.185571670532227,22.037023544311523
69,69,69,2020-06-26,19.983491897583008,20.17607879638672,21.078067779541016
70,70,70,2020-06-29,21.07939338684082,20.36596870422364,19.995681762695312
71,71,71,2020-06-30,21.174692153930664,21.59077453613281,20.45142364501953
72,72,72,2020-07-01,21.546342849731445,21.258464813232425,20.85968780517578
73,73,73,2020-07-02,21.83222770690918,20.717269897460938,20.95463752746582
74,74,74,2020-07-06,23.071075439453125,20.50761985778809,20.185571670532227
75,75,75,2020-07-07,22.880483627319336,19.983491897583008,20.17607879638672
76,76,76,2020-07-08,22.861421585083008,21.07939338684082,20.36596870422364
77,77,77,2020-07-09,22.78518486022949,21.174692153930664,21.59077453613281
78,78,78,2020-07-10,23.71907997131348,21.546342849731445,21.258464813232425
