,Unnamed: 0.1,Unnamed: 0,Date,CAT,CAT_6m,CAT_12m
0,0,0,2019-02-05,117.07181549072266,,
1,1,1,2019-02-06,115.77693939208984,,
2,2,2,2019-02-07,114.21598815917967,,
3,3,3,2019-02-08,114.0563507080078,,
4,4,4,2019-02-11,114.34900665283205,,
5,5,5,2019-02-12,117.66603088378906,,
6,6,6,2019-02-13,118.0474090576172,117.07181549072266,
7,7,7,2019-02-14,117.6216812133789,115.77693939208984,
8,8,8,2019-02-15,120.7968292236328,114.21598815917967,
9,9,9,2019-02-19,120.44207763671876,114.0563507080078,
10,10,10,2019-02-20,124.44203186035156,114.34900665283205,
11,11,11,2019-02-21,123.17375946044922,117.66603088378906,
12,12,12,2019-02-22,122.99633026123048,118.0474090576172,117.07181549072266
13,13,13,2019-02-25,125.41764068603516,117.6216812133789,115.77693939208984
14,14,14,2019-02-26,122.37554168701172,120.7968292236328,114.21598815917967
15,15,15,2019-02-27,123.79454803466795,120.44207763671876,114.0563507080078
16,16,16,2019-02-28,121.80792999267578,124.44203186035156,114.34900665283205
17,17,17,2019-03-01,121.92321014404295,123.17375946044922,117.66603088378906
18,18,18,2019-03-04,122.7037124633789,122.99633026123048,118.0474090576172
19,19,19,2019-03-05,121.63050842285156,125.41764068603516,117.6216812133789
20,20,20,2019-03-06,119.58174896240234,122.37554168701172,120.7968292236328
21,21,21,2019-03-07,117.78133392333984,123.79454803466795,120.44207763671876
22,22,22,2019-03-08,116.49534606933594,121.80792999267578,124.44203186035156
23,23,23,2019-03-11,118.05628204345705,121.92321014404295,123.17375946044922
24,24,24,2019-03-12,117.49752807617188,122.7037124633789,122.99633026123048
25,25,25,2019-03-13,118.40218353271484,121.63050842285156,125.41764068603516
26,26,26,2019-03-14,118.57069396972656,119.58174896240234,122.37554168701172
27,27,27,2019-03-15,117.66603088378906,117.78133392333984,123.79454803466795
28,28,28,2019-03-18,118.93433380126952,116.49534606933594,121.80792999267578
