,Unnamed: 0.1,Unnamed: 0,Date,CL,CL_6m,CL_12m
0,0,0,2019-02-05,57.42887496948242,,
1,1,1,2019-02-06,57.95225524902344,,
2,2,2,2019-02-07,57.703880310058594,,
3,3,3,2019-02-08,58.27159118652344,,
4,4,4,2019-02-11,58.36030197143555,,
5,5,5,2019-02-12,58.56432342529297,,
6,6,6,2019-02-13,58.49337387084961,57.42887496948242,
7,7,7,2019-02-14,58.05870056152344,57.95225524902344,
8,8,8,2019-02-15,58.97239685058594,57.703880310058594,
9,9,9,2019-02-19,59.1852912902832,58.27159118652344,
10,10,10,2019-02-20,58.99899673461914,58.36030197143555,
11,11,11,2019-02-21,59.16753768920898,58.56432342529297,
12,12,12,2019-02-22,59.34495162963867,58.49337387084961,57.42887496948242
13,13,13,2019-02-25,59.00786590576172,58.05870056152344,57.95225524902344
14,14,14,2019-02-26,58.981258392333984,58.97239685058594,57.703880310058594
15,15,15,2019-02-27,58.431270599365234,59.1852912902832,58.27159118652344
16,16,16,2019-02-28,58.431270599365234,58.99899673461914,58.36030197143555
17,17,17,2019-03-01,58.54658508300781,59.16753768920898,58.56432342529297
18,18,18,2019-03-04,58.57321548461914,59.34495162963867,58.49337387084961
19,19,19,2019-03-05,58.29822540283203,59.00786590576172,58.05870056152344
20,20,20,2019-03-06,58.20064163208008,58.981258392333984,58.97239685058594
21,21,21,2019-03-07,57.961124420166016,58.431270599365234,59.1852912902832
22,22,22,2019-03-08,57.969993591308594,58.431270599365234,58.99899673461914
23,23,23,2019-03-11,58.413536071777344,58.54658508300781,59.16753768920898
24,24,24,2019-03-12,58.31595993041992,58.57321548461914,59.34495162963867
25,25,25,2019-03-13,59.00786590576172,58.29822540283203,59.00786590576172
26,26,26,2019-03-14,58.76836013793945,58.20064163208008,58.981258392333984
27,27,27,2019-03-15,59.61107635498047,57.961124420166016,58.431270599365234
28,28,28,2019-03-18,58.80384826660156,57.969993591308594,58.431270599365234
