,Unnamed: 0,Date,NOC
0,0,2019-02-05,256.8007507324219
1,1,2019-02-06,258.59918212890625
2,2,2019-02-07,256.86541748046875
3,3,2019-02-08,258.79278564453125
4,4,2019-02-11,259.57672119140625
5,5,2019-02-12,261.98370361328125
6,6,2019-02-13,261.264404296875
7,7,2019-02-14,258.7743835449219
8,8,2019-02-15,264.6581726074219
9,9,2019-02-19,264.9993896484375
10,10,2019-02-20,265.8016662597656
11,11,2019-02-21,265.1376953125
12,12,2019-02-22,267.3695678710937
13,13,2019-02-25,265.8322448730469
14,14,2019-02-26,265.3691711425781
15,15,2019-02-27,265.57293701171875
16,16,2019-02-28,268.52716064453125
17,17,2019-03-01,265.7859802246094
18,18,2019-03-04,262.1742248535156
19,19,2019-03-05,261.96124267578125
20,20,2019-03-06,259.7293395996094
21,21,2019-03-07,256.00653076171875
22,22,2019-03-08,255.56198120117188
23,23,2019-03-11,258.5810546875
24,24,2019-03-12,254.83035278320312
25,25,2019-03-13,258.5254211425781
26,26,2019-03-14,254.4414825439453
27,27,2019-03-15,251.16310119628903
28,28,2019-03-18,254.57107543945312
29,29,2019-03-19,250.97792053222656
30,30,2019-03-20,250.46849060058597
31,31,2019-03-21,252.3391876220703
32,32,2019-03-22,248.5237274169922
33,33,2019-03-25,248.74603271484372
34,34,2019-03-26,246.19927978515625
35,35,2019-03-27,244.4119415283203
36,36,2019-03-28,247.26426696777344
37,37,2019-03-29,249.672119140625
38,38,2019-04-01,253.8487243652344
39,39,2019-04-02,253.1262969970703
40,40,2019-04-03,247.04200744628903
41,41,2019-04-04,250.97792053222656
42,42,2019-04-05,255.87684631347656
43,43,2019-04-08,256.4325256347656
44,44,2019-04-09,253.25608825683597
45,45,2019-04-10,250.53343200683597
46,46,2019-04-11,256.8862609863281
47,47,2019-04-12,262.1279602050781
48,48,2019-04-15,259.5072021484375
49,49,2019-04-16,260.7943725585937
50,50,2019-04-17,258.1642761230469
51,51,2019-04-18,260.377685546875
52,52,2019-04-22,261.9797058105469
53,53,2019-04-23,270.98126220703125
54,54,2019-04-24,259.3034362792969
55,55,2019-04-25,258.5532531738281
56,56,2019-04-26,262.20196533203125
57,57,2019-04-29,264.8598022460937
58,58,2019-04-30,268.4808044433594
59,59,2019-05-01,267.9251403808594
60,60,2019-05-02,268.4993591308594
61,61,2019-05-03,270.4534606933594
62,62,2019-05-06,269.80517578125
63,63,2019-05-07,267.0639343261719
64,64,2019-05-08,269.0828857421875
65,65,2019-05-09,273.1946105957031
66,66,2019-05-10,278.5658874511719
67,67,2019-05-13,273.6391296386719
68,68,2019-05-14,273.7873229980469
69,69,2019-05-15,272.7223205566406
70,70,2019-05-16,282.1868896484375
71,71,2019-05-17,284.02056884765625
72,72,2019-05-20,291.3273010253906
73,73,2019-05-21,292.8646850585937
74,74,2019-05-22,293.225830078125
75,75,2019-05-23,288.09521484375
76,76,2019-05-24,289.0029602050781
77,77,2019-05-28,285.4467163085937
78,78,2019-05-29,283.39080810546875
79,79,2019-05-30,286.90985107421875
80,80,2019-05-31,282.0364685058594
81,81,2019-06-03,285.4683837890625
82,82,2019-06-04,290.4255065917969
