,Unnamed: 0,Date,POOL
0,0,2019-02-05,149.42994689941406
1,1,2019-02-06,148.20223999023438
2,2,2019-02-07,148.94459533691406
3,3,2019-02-08,149.05877685546875
4,4,2019-02-11,147.86917114257812
5,5,2019-02-12,150.9811248779297
6,6,2019-02-13,150.20074462890625
7,7,2019-02-14,143.23460388183594
8,8,2019-02-15,144.65255737304688
9,9,2019-02-19,147.03175354003906
10,10,2019-02-20,145.33773803710938
11,11,2019-02-21,147.86917114257812
12,12,2019-02-22,151.0572509765625
13,13,2019-02-25,152.40859985351562
14,14,2019-02-26,153.4839630126953
15,15,2019-02-27,152.89395141601562
16,16,2019-02-28,151.82809448242188
17,17,2019-03-01,151.52354431152344
18,18,2019-03-04,151.5426025390625
19,19,2019-03-05,152.0184326171875
20,20,2019-03-06,150.1817169189453
21,21,2019-03-07,149.2776641845703
22,22,2019-03-08,148.57339477539062
23,23,2019-03-11,150.9049835205078
24,24,2019-03-12,151.333251953125
25,25,2019-03-13,153.0797119140625
26,26,2019-03-14,151.8390350341797
27,27,2019-03-15,149.8157958984375
28,28,2019-03-18,151.58139038085938
29,29,2019-03-19,150.6652069091797
30,30,2019-03-20,150.04486083984375
31,31,2019-03-21,152.46893310546875
32,32,2019-03-22,149.0904541015625
33,33,2019-03-25,151.12327575683594
34,34,2019-03-26,150.2643585205078
35,35,2019-03-27,153.49964904785156
36,36,2019-03-28,157.01171875
37,37,2019-03-29,157.44113159179688
38,38,2019-04-01,160.17062377929688
39,39,2019-04-02,160.05613708496094
40,40,2019-04-03,161.9934539794922
41,41,2019-04-04,161.75485229492188
42,42,2019-04-05,162.5565185546875
43,43,2019-04-08,162.1652374267578
44,44,2019-04-09,154.9693603515625
45,45,2019-04-10,156.35317993164062
46,46,2019-04-11,157.52703857421875
47,47,2019-04-12,160.41876220703125
48,48,2019-04-15,162.6424102783203
49,49,2019-04-16,162.83326721191406
50,50,2019-04-17,161.43992614746094
51,51,2019-04-18,169.771484375
52,52,2019-04-22,169.9814910888672
53,53,2019-04-23,170.31549072265625
54,54,2019-04-24,171.22216796875
55,55,2019-04-25,168.6739959716797
56,56,2019-04-26,170.6495361328125
57,57,2019-04-29,172.74913024902344
58,58,2019-04-30,175.35452270507812
59,59,2019-05-01,173.3122100830078
60,60,2019-05-02,176.5188446044922
61,61,2019-05-03,176.02256774902344
62,62,2019-05-06,177.39686584472656
63,63,2019-05-07,174.33334350585938
64,64,2019-05-08,174.7056121826172
65,65,2019-05-09,173.9993438720703
66,66,2019-05-10,175.76492309570312
67,67,2019-05-13,172.3673553466797
68,68,2019-05-14,172.11923217773438
69,69,2019-05-15,173.7989044189453
70,70,2019-05-16,174.14352416992188
71,71,2019-05-17,176.4026336669922
72,72,2019-05-20,177.1397247314453
73,73,2019-05-21,176.01974487304688
74,74,2019-05-22,175.37838745117188
75,75,2019-05-23,173.10972595214844
76,76,2019-05-24,173.9233856201172
77,77,2019-05-28,171.6929473876953
78,78,2019-05-29,169.61570739746094
79,79,2019-05-30,171.28134155273438
80,80,2019-05-31,172.0950164794922
81,81,2019-06-03,171.6929473876953
82,82,2019-06-04,178.2213897705078
83,83,2019-06-05,178.68092346191406
84,84,2019-06-06,180.33694458007807
85,85,2019-06-07,181.38038635253903
86,86,2019-06-10,179.92535400390625
87,87,2019-06-11,177.88638305664062
88,88,2019-06-12,180.28912353515625
89,89,2019-06-13,182.8545379638672
90,90,2019-06-14,181.53353881835935
91,91,2019-06-17,179.4754180908203
92,92,2019-06-18,179.26486206054688
93,93,2019-06-19,179.69558715820312
