,Unnamed: 0.1,Unnamed: 0,Date,ADI,ADI_6m,ADI_12m
0,0,0,2019-02-05,91.30680847167967,,
1,1,1,2019-02-06,93.13477325439452,,
2,2,2,2019-02-07,91.5159683227539,,
3,3,3,2019-02-08,91.60693359375,,
4,4,4,2019-02-11,92.53451538085938,,
5,5,5,2019-02-12,94.63531494140624,,
6,6,6,2019-02-13,94.96270751953124,91.30680847167967,
7,7,7,2019-02-14,95.02637481689452,93.13477325439452,
8,8,8,2019-02-15,96.16317749023438,91.5159683227539,
9,9,9,2019-02-19,94.78081512451172,91.60693359375,
10,10,10,2019-02-20,97.14533996582033,92.53451538085938,
11,11,11,2019-02-21,95.74481201171876,94.63531494140624,
12,12,12,2019-02-22,96.31775665283205,94.96270751953124,91.30680847167967
13,13,13,2019-02-25,98.12753295898438,95.02637481689452,93.13477325439452
14,14,14,2019-02-26,97.47274017333984,96.16317749023438,91.5159683227539
15,15,15,2019-02-27,96.3359603881836,94.78081512451172,91.60693359375
16,16,16,2019-02-28,97.77108764648438,97.14533996582033,92.53451538085938
17,17,17,2019-03-01,99.1239242553711,95.74481201171876,94.63531494140624
18,18,18,2019-03-04,99.32503509521484,96.31775665283205,94.96270751953124
19,19,19,2019-03-05,98.93196868896484,98.12753295898438,95.02637481689452
20,20,20,2019-03-06,97.61566925048828,97.47274017333984,96.16317749023438
21,21,21,2019-03-07,96.60103607177734,96.3359603881836,94.78081512451172
22,22,22,2019-03-08,96.35423278808594,97.77108764648438,97.14533996582033
23,23,23,2019-03-11,98.4292221069336,99.1239242553711,95.74481201171876
24,24,24,2019-03-12,98.63945770263672,99.32503509521484,96.31775665283205
25,25,25,2019-03-13,98.79485321044922,98.93196868896484,98.12753295898438
26,26,26,2019-03-14,98.9502410888672,97.61566925048828,97.47274017333984
27,27,27,2019-03-15,99.9922866821289,96.60103607177734,96.3359603881836
28,28,28,2019-03-18,99.77294158935548,96.35423278808594,97.77108764648438
29,29,29,2019-03-19,100.50418090820312,98.4292221069336,99.1239242553711
30,30,30,2019-03-20,99.27933502197266,98.63945770263672,99.32503509521484
