,Unnamed: 0,Date,HUBB
0,0,2019-02-05,101.97042846679688
1,1,2019-02-06,103.15196990966795
2,2,2019-02-07,102.9371566772461
3,3,2019-02-08,103.22357177734376
4,4,2019-02-11,103.18778228759766
5,5,2019-02-12,103.7964324951172
6,6,2019-02-13,104.62890625
7,7,2019-02-14,103.69799041748048
8,8,2019-02-15,106.16847229003906
9,9,2019-02-19,106.23112487792967
10,10,2019-02-20,107.22469329833984
11,11,2019-02-21,106.7323989868164
12,12,2019-02-22,107.58273315429688
13,13,2019-02-25,107.98552703857422
14,14,2019-02-26,106.54441833496094
15,15,2019-02-27,106.92303466796876
16,16,2019-02-28,106.41822052001952
17,17,2019-03-01,106.46327209472656
18,18,2019-03-04,105.5978775024414
19,19,2019-03-05,106.535400390625
20,20,2019-03-06,107.23856353759766
21,21,2019-03-07,107.7704086303711
22,22,2019-03-08,106.19286346435548
23,23,2019-03-11,107.25657653808594
24,24,2019-03-12,107.02220916748048
25,25,2019-03-13,109.37501525878906
26,26,2019-03-14,109.25784301757812
27,27,2019-03-15,111.5114974975586
28,28,2019-03-18,111.1148681640625
29,29,2019-03-19,109.23078918457033
30,30,2019-03-20,106.95911407470705
31,31,2019-03-21,107.8245086669922
32,32,2019-03-22,103.58761596679688
33,33,2019-03-25,103.75888061523438
34,34,2019-03-26,104.36287689208984
35,35,2019-03-27,104.57920837402344
36,36,2019-03-28,105.6700210571289
37,37,2019-03-29,106.35511016845705
38,38,2019-04-01,107.68928527832033
39,39,2019-04-02,108.32933807373048
40,40,2019-04-03,109.68152618408205
41,41,2019-04-04,110.83541107177734
42,42,2019-04-05,112.71946716308594
43,43,2019-04-08,113.6029052734375
44,44,2019-04-09,112.00730895996094
45,45,2019-04-10,111.3131866455078
46,46,2019-04-11,112.44902801513672
47,47,2019-04-12,112.7014389038086
48,48,2019-04-15,112.12449645996094
49,49,2019-04-16,113.04401397705078
50,50,2019-04-17,112.82765197753906
51,51,2019-04-18,113.73814392089844
52,52,2019-04-22,113.27839660644533
53,53,2019-04-23,113.09809112548828
54,54,2019-04-24,112.87273406982422
55,55,2019-04-25,110.81736755371094
56,56,2019-04-26,111.1238784790039
57,57,2019-04-29,111.1148681640625
58,58,2019-04-30,115.02721405029295
59,59,2019-05-01,114.51339721679688
60,60,2019-05-02,116.02786254882812
61,61,2019-05-03,116.90226745605467
62,62,2019-05-06,115.83856201171876
63,63,2019-05-07,113.8463134765625
64,64,2019-05-08,113.87336730957033
65,65,2019-05-09,113.04401397705078
66,66,2019-05-10,113.42261505126952
67,67,2019-05-13,107.4999771118164
68,68,2019-05-14,108.68089294433594
69,69,2019-05-15,108.93329620361328
70,70,2019-05-16,110.65510559082033
71,71,2019-05-17,109.42910766601562
72,72,2019-05-20,107.1844711303711
73,73,2019-05-21,108.84317016601562
74,74,2019-05-22,107.14842224121094
75,75,2019-05-23,105.61592864990234
76,76,2019-05-24,106.37315368652344
77,77,2019-05-28,105.84127807617188
78,78,2019-05-29,105.75112915039062
79,79,2019-05-30,106.33223724365234
80,80,2019-05-31,103.99877166748048
81,81,2019-06-03,105.86917114257812
82,82,2019-06-04,110.65418243408205
83,83,2019-06-05,111.66201782226562
84,84,2019-06-06,112.33391571044922
85,85,2019-06-07,112.55181884765624
86,86,2019-06-10,113.20556640625
87,87,2019-06-11,112.4882583618164
88,88,2019-06-12,111.28067779541016
89,89,2019-06-13,111.98888397216795
