,Unnamed: 0.1,Unnamed: 0,Date,ABT,ABT_6m,ABT_12m
0,0,0,2019-02-05,67.21473693847656,,
1,1,1,2019-02-06,67.5640869140625,,
2,2,2,2019-02-07,66.87456512451172,,
3,3,3,2019-02-08,67.41699981689453,,
4,4,4,2019-02-11,67.61006927490234,,
5,5,5,2019-02-12,69.00748443603516,,
6,6,6,2019-02-13,68.38232421875,67.21473693847656,
7,7,7,2019-02-14,68.00540161132812,67.5640869140625,
8,8,8,2019-02-15,69.18219757080078,66.87456512451172,
9,9,9,2019-02-19,68.95234680175781,67.41699981689453,
10,10,10,2019-02-20,69.44881439208984,67.61006927490234,
11,11,11,2019-02-21,69.08106231689453,69.00748443603516,
12,12,12,2019-02-22,69.99120330810547,68.38232421875,67.21473693847656
13,13,13,2019-02-25,70.66236114501953,68.00540161132812,67.5640869140625
14,14,14,2019-02-26,70.56124114990234,69.18219757080078,66.87456512451172
15,15,15,2019-02-27,71.00251770019531,68.95234680175781,67.41699981689453
16,16,16,2019-02-28,71.36107635498047,69.44881439208984,67.61006927490234
17,17,17,2019-03-01,72.25286102294922,69.08106231689453,69.00748443603516
18,18,18,2019-03-04,72.28044891357422,69.99120330810547,68.38232421875
19,19,19,2019-03-05,71.91270446777344,70.66236114501953,68.00540161132812
20,20,20,2019-03-06,71.43462371826172,70.56124114990234,69.18219757080078
21,21,21,2019-03-07,70.60722351074219,71.00251770019531,68.95234680175781
22,22,22,2019-03-08,70.4509048461914,71.36107635498047,69.44881439208984
23,23,23,2019-03-11,71.53575897216797,72.25286102294922,69.08106231689453
24,24,24,2019-03-12,71.93107604980469,72.28044891357422,69.99120330810547
25,25,25,2019-03-13,72.28044891357422,71.91270446777344,70.66236114501953
26,26,26,2019-03-14,72.6114273071289,71.43462371826172,70.56124114990234
27,27,27,2019-03-15,73.42045593261719,70.60722351074219,71.00251770019531
28,28,28,2019-03-18,72.4735107421875,70.4509048461914,71.36107635498047
29,29,29,2019-03-19,73.51237487792969,71.53575897216797,72.25286102294922
30,30,30,2019-03-20,73.4939956665039,71.93107604980469,72.28044891357422
