,Unnamed: 0.1,Unnamed: 0,Date,TTWO,TTWO_6m,TTWO_12m
0,0,0,2019-02-05,107.29000091552734,,
1,1,1,2019-02-06,92.52999877929688,,
2,2,2,2019-02-07,96.38999938964844,,
3,3,3,2019-02-08,97.13999938964844,,
4,4,4,2019-02-11,93.44000244140624,,
5,5,5,2019-02-12,89.25,,
6,6,6,2019-02-13,92.13999938964844,107.29000091552734,
7,7,7,2019-02-14,93.27999877929688,92.52999877929688,
8,8,8,2019-02-15,93.3000030517578,96.38999938964844,
9,9,9,2019-02-19,93.2699966430664,97.13999938964844,
10,10,10,2019-02-20,88.66999816894531,93.44000244140624,
11,11,11,2019-02-21,87.58999633789062,89.25,
12,12,12,2019-02-22,87.06999969482422,92.13999938964844,107.29000091552734
13,13,13,2019-02-25,87.29000091552734,93.27999877929688,92.52999877929688
14,14,14,2019-02-26,87.33999633789062,93.3000030517578,96.38999938964844
15,15,15,2019-02-27,84.62999725341797,93.2699966430664,97.13999938964844
16,16,16,2019-02-28,87.26000213623047,88.66999816894531,93.44000244140624
17,17,17,2019-03-01,88.31999969482422,87.58999633789062,89.25
18,18,18,2019-03-04,87.44000244140625,87.06999969482422,92.13999938964844
19,19,19,2019-03-05,87.37000274658203,87.29000091552734,93.27999877929688
20,20,20,2019-03-06,87.19999694824219,87.33999633789062,93.3000030517578
21,21,21,2019-03-07,88.41000366210938,84.62999725341797,93.2699966430664
22,22,22,2019-03-08,87.04000091552734,87.26000213623047,88.66999816894531
23,23,23,2019-03-11,89.80000305175781,88.31999969482422,87.58999633789062
24,24,24,2019-03-12,89.8499984741211,87.44000244140625,87.06999969482422
25,25,25,2019-03-13,96.02999877929688,87.37000274658203,87.29000091552734
26,26,26,2019-03-14,92.43000030517578,87.19999694824219,87.33999633789062
27,27,27,2019-03-15,93.5500030517578,88.41000366210938,84.62999725341797
28,28,28,2019-03-18,93.83000183105467,87.04000091552734,87.26000213623047
29,29,29,2019-03-19,95.79000091552734,89.80000305175781,88.31999969482422
30,30,30,2019-03-20,96.05999755859376,89.8499984741211,87.44000244140625
31,31,31,2019-03-21,99.11000061035156,96.02999877929688,87.37000274658203
32,32,32,2019-03-22,96.0199966430664,92.43000030517578,87.19999694824219
33,33,33,2019-03-25,96.02999877929688,93.5500030517578,88.41000366210938
