,Unnamed: 0,Date,ITW
0,0,2019-02-05,122.23287963867188
1,1,2019-02-06,121.99347686767578
2,2,2019-02-07,119.73220825195312
3,3,2019-02-08,120.3529281616211
4,4,2019-02-11,120.8051528930664
5,5,2019-02-12,122.9422836303711
6,6,2019-02-13,123.98871612548828
7,7,2019-02-14,123.03984832763672
8,8,2019-02-15,127.88162994384766
9,9,2019-02-19,127.03030395507812
10,10,2019-02-20,127.34957885742188
11,11,2019-02-21,127.00369262695312
12,12,2019-02-22,128.43141174316406
13,13,2019-02-25,128.5999298095703
14,14,2019-02-26,127.99688720703124
15,15,2019-02-27,128.84820556640625
16,16,2019-02-28,127.76634979248048
17,17,2019-03-01,128.0589599609375
18,18,2019-03-04,127.99688720703124
19,19,2019-03-05,127.39391326904295
20,20,2019-03-06,126.40959167480467
21,21,2019-03-07,124.81336212158205
22,22,2019-03-08,124.7247085571289
23,23,2019-03-11,127.3673095703125
24,24,2019-03-12,127.67767333984376
25,25,2019-03-13,128.78611755371094
26,26,2019-03-14,128.49351501464844
27,27,2019-03-15,126.96826171875
28,28,2019-03-18,128.91915893554688
29,29,2019-03-19,129.46011352539062
30,30,2019-03-20,129.16746520996094
31,31,2019-03-21,129.88572692871094
32,32,2019-03-22,125.6114730834961
33,33,2019-03-25,125.95730590820312
34,34,2019-03-26,127.03030395507812
35,35,2019-03-27,126.48052215576172
36,36,2019-03-28,127.5700454711914
37,37,2019-03-29,128.17730712890625
38,38,2019-04-01,132.4727783203125
39,39,2019-04-02,132.8300018310547
40,40,2019-04-03,134.06240844726562
41,41,2019-04-04,135.52696228027344
42,42,2019-04-05,135.91990661621094
43,43,2019-04-08,137.44700622558594
44,44,2019-04-09,134.83937072753906
45,45,2019-04-10,135.46444702148438
46,46,2019-04-11,137.82208251953125
47,47,2019-04-12,139.670654296875
48,48,2019-04-15,138.9740753173828
49,49,2019-04-16,140.87625122070312
50,50,2019-04-17,139.44740295410156
51,51,2019-04-18,141.39425659179688
52,52,2019-04-22,140.3761444091797
53,53,2019-04-23,141.03700256347656
54,54,2019-04-24,140.0367889404297
55,55,2019-04-25,135.03579711914062
56,56,2019-04-26,137.16122436523438
57,57,2019-04-29,138.42930603027344
58,58,2019-04-30,138.98300170898438
59,59,2019-05-01,137.83990478515625
60,60,2019-05-02,138.0631866455078
61,61,2019-05-03,140.57264709472656
62,62,2019-05-06,138.715087890625
63,63,2019-05-07,135.4197998046875
64,64,2019-05-08,134.96435546875
65,65,2019-05-09,135.34835815429688
66,66,2019-05-10,136.4199981689453
67,67,2019-05-13,131.89231872558594
68,68,2019-05-14,133.01754760742188
69,69,2019-05-15,134.794677734375
70,70,2019-05-16,136.1610107421875
71,71,2019-05-17,134.49107360839844
72,72,2019-05-20,133.43722534179688
73,73,2019-05-21,135.03579711914062
74,74,2019-05-22,133.91952514648438
75,75,2019-05-23,130.64205932617188
76,76,2019-05-24,130.13307189941406
77,77,2019-05-28,127.15923309326172
78,78,2019-05-29,126.28408813476562
79,79,2019-05-30,125.79290008544922
80,80,2019-05-31,124.70337677001952
81,81,2019-06-03,125.2570571899414
82,82,2019-06-04,129.64186096191406
83,83,2019-06-05,131.42791748046875
84,84,2019-06-06,132.21380615234375
85,85,2019-06-07,134.97332763671875
86,86,2019-06-10,135.93775939941406
87,87,2019-06-11,136.09849548339844
88,88,2019-06-12,134.4017333984375
89,89,2019-06-13,135.72341918945312
90,90,2019-06-14,133.1068572998047
91,91,2019-06-17,131.62442016601562
92,92,2019-06-18,133.24974060058594
93,93,2019-06-19,133.54443359375
94,94,2019-06-20,135.9020233154297
95,95,2019-06-21,135.67880249023438
96,96,2019-06-24,135.7859344482422
97,97,2019-06-25,134.68756103515625
98,98,2019-06-26,134.01773071289062
99,99,2019-06-27,134.0267333984375
100,100,2019-06-28,135.58203125
