,Unnamed: 0,Date,DLTR
0,0,2019-02-05,98.0999984741211
1,1,2019-02-06,97.79000091552734
2,2,2019-02-07,98.29000091552734
3,3,2019-02-08,97.6500015258789
4,4,2019-02-11,97.5999984741211
5,5,2019-02-12,98.08000183105467
6,6,2019-02-13,98.55999755859376
7,7,2019-02-14,98.52999877929688
8,8,2019-02-15,98.8499984741211
9,9,2019-02-19,99.0500030517578
10,10,2019-02-20,99.19000244140624
11,11,2019-02-21,98.12000274658205
12,12,2019-02-22,97.11000061035156
13,13,2019-02-25,97.27999877929688
14,14,2019-02-26,96.48999786376952
15,15,2019-02-27,95.7699966430664
16,16,2019-02-28,96.33000183105467
17,17,2019-03-01,96.36000061035156
18,18,2019-03-04,95.2699966430664
19,19,2019-03-05,95.47000122070312
20,20,2019-03-06,100.3499984741211
21,21,2019-03-07,103.16000366210938
22,22,2019-03-08,102.4000015258789
23,23,2019-03-11,103.83999633789062
24,24,2019-03-12,102.4499969482422
25,25,2019-03-13,102.55999755859376
26,26,2019-03-14,100.6500015258789
27,27,2019-03-15,99.86000061035156
28,28,2019-03-18,101.02999877929688
29,29,2019-03-19,101.30999755859376
30,30,2019-03-20,101.3499984741211
31,31,2019-03-21,101.41000366210938
32,32,2019-03-22,101.43000030517578
33,33,2019-03-25,101.95999908447266
34,34,2019-03-26,101.7699966430664
35,35,2019-03-27,104.22000122070312
36,36,2019-03-28,103.47000122070312
37,37,2019-03-29,105.04000091552734
38,38,2019-04-01,103.72000122070312
39,39,2019-04-02,104.11000061035156
40,40,2019-04-03,104.70999908447266
41,41,2019-04-04,105.62999725341795
42,42,2019-04-05,105.98999786376952
43,43,2019-04-08,102.44000244140624
44,44,2019-04-09,102.5999984741211
45,45,2019-04-10,103.43000030517578
46,46,2019-04-11,104.6500015258789
47,47,2019-04-12,104.4499969482422
48,48,2019-04-15,106.80999755859376
49,49,2019-04-16,106.30999755859376
50,50,2019-04-17,108.0
51,51,2019-04-18,108.66999816894533
52,52,2019-04-22,108.1999969482422
53,53,2019-04-23,109.3000030517578
54,54,2019-04-24,110.20999908447266
55,55,2019-04-25,110.76000213623048
56,56,2019-04-26,109.94000244140624
57,57,2019-04-29,110.9800033569336
58,58,2019-04-30,111.27999877929688
59,59,2019-05-01,109.6500015258789
60,60,2019-05-02,109.4499969482422
61,61,2019-05-03,108.81999969482422
62,62,2019-05-06,108.62000274658205
63,63,2019-05-07,105.4499969482422
64,64,2019-05-08,106.11000061035156
65,65,2019-05-09,105.63999938964844
66,66,2019-05-10,104.0199966430664
67,67,2019-05-13,99.33999633789062
68,68,2019-05-14,98.75
69,69,2019-05-15,100.1999969482422
70,70,2019-05-16,100.88999938964844
71,71,2019-05-17,100.38999938964844
72,72,2019-05-20,100.05999755859376
73,73,2019-05-21,99.7699966430664
74,74,2019-05-22,99.56999969482422
75,75,2019-05-23,97.45999908447266
76,76,2019-05-24,98.41999816894533
77,77,2019-05-28,97.2699966430664
78,78,2019-05-29,95.31999969482422
79,79,2019-05-30,98.30999755859376
80,80,2019-05-31,101.58999633789062
81,81,2019-06-03,100.69000244140624
82,82,2019-06-04,100.69000244140624
83,83,2019-06-05,100.29000091552734
84,84,2019-06-06,102.22000122070312
85,85,2019-06-07,102.63999938964844
86,86,2019-06-10,103.77999877929688
87,87,2019-06-11,106.52999877929688
88,88,2019-06-12,108.0500030517578
89,89,2019-06-13,108.66000366210938
90,90,2019-06-14,110.30999755859376
91,91,2019-06-17,108.12999725341795
92,92,2019-06-18,109.47000122070312
93,93,2019-06-19,109.37000274658205
94,94,2019-06-20,110.79000091552734
95,95,2019-06-21,112.19000244140624
96,96,2019-06-24,112.70999908447266
97,97,2019-06-25,108.9499969482422
98,98,2019-06-26,109.06999969482422
99,99,2019-06-27,108.13999938964844
100,100,2019-06-28,107.38999938964844
101,101,2019-07-01,110.08999633789062
