,Unnamed: 0,Date,WYNN
0,0,2019-02-05,121.22151184082033
1,1,2019-02-06,125.24222564697266
2,2,2019-02-07,120.8880386352539
3,3,2019-02-08,119.2968978881836
4,4,2019-02-11,119.0968246459961
5,5,2019-02-12,120.1734619140625
6,6,2019-02-13,121.5264129638672
7,7,2019-02-14,118.29655456542967
8,8,2019-02-15,119.3316421508789
9,9,2019-02-19,123.02152252197266
10,10,2019-02-20,123.80740356445312
11,11,2019-02-21,124.23870086669922
12,12,2019-02-22,126.27054595947266
13,13,2019-02-25,123.82659149169922
14,14,2019-02-26,125.02458953857422
15,15,2019-02-27,122.39855194091795
16,16,2019-02-28,121.27721405029295
17,17,2019-03-01,119.91627502441406
18,18,2019-03-04,120.34754943847656
19,19,2019-03-05,118.97703552246094
20,20,2019-03-06,118.41156768798828
21,21,2019-03-07,113.7345199584961
22,22,2019-03-08,114.6162567138672
23,23,2019-03-11,114.40541076660156
24,24,2019-03-12,112.46942138671876
25,25,2019-03-13,112.12439727783205
26,26,2019-03-14,110.83055114746094
27,27,2019-03-15,110.97429656982422
28,28,2019-03-18,111.3193359375
29,29,2019-03-19,112.9198760986328
30,30,2019-03-20,113.22657012939452
31,31,2019-03-21,116.10179138183594
32,32,2019-03-22,112.04773712158205
33,33,2019-03-25,111.60685729980467
34,34,2019-03-26,112.47900390625
35,35,2019-03-27,111.7122802734375
36,36,2019-03-28,112.72820281982422
37,37,2019-03-29,114.35749816894533
38,38,2019-04-01,123.96075439453124
39,39,2019-04-02,129.4141082763672
40,40,2019-04-03,131.90599060058594
41,41,2019-04-04,133.86114501953125
42,42,2019-04-05,135.07830810546875
43,43,2019-04-08,138.82571411132812
44,44,2019-04-09,133.4681854248047
45,45,2019-04-10,135.1358184814453
46,46,2019-04-11,135.15499877929688
47,47,2019-04-12,137.8002166748047
48,48,2019-04-15,135.92172241210938
49,49,2019-04-16,138.7010955810547
50,50,2019-04-17,137.39767456054688
51,51,2019-04-18,136.5159454345703
52,52,2019-04-22,134.17739868164062
53,53,2019-04-23,136.95680236816406
54,54,2019-04-24,138.3944091796875
55,55,2019-04-25,140.88629150390625
56,56,2019-04-26,143.0906219482422
57,57,2019-04-29,142.58267211914062
58,58,2019-04-30,138.44232177734375
59,59,2019-05-01,140.06207275390625
60,60,2019-05-02,139.50619506835938
61,61,2019-05-03,141.2313232421875
62,62,2019-05-06,135.48086547851562
63,63,2019-05-07,130.05624389648438
64,64,2019-05-08,130.30545043945312
65,65,2019-05-09,130.6600341796875
66,66,2019-05-10,124.4878921508789
67,67,2019-05-13,116.80144500732422
68,68,2019-05-14,118.1911392211914
69,69,2019-05-15,120.0408706665039
70,70,2019-05-16,122.01519012451172
71,71,2019-05-17,116.37015533447266
72,72,2019-05-20,115.18171691894533
73,73,2019-05-21,116.8150405883789
74,74,2019-05-22,115.89688873291016
75,75,2019-05-23,110.04020690917967
76,76,2019-05-24,110.3687973022461
77,77,2019-05-28,110.28181457519533
78,78,2019-05-29,110.55242156982422
79,79,2019-05-30,107.69172668457033
80,80,2019-05-31,103.72927856445312
81,81,2019-06-03,100.0954132080078
82,82,2019-06-04,109.08341979980467
83,83,2019-06-05,106.75426483154295
84,84,2019-06-06,106.29036712646484
85,85,2019-06-07,107.29547882080078
86,86,2019-06-10,112.75594329833984
87,87,2019-06-11,114.186279296875
88,88,2019-06-12,110.89068603515624
89,89,2019-06-13,113.27781677246094
90,90,2019-06-14,111.73149871826172
91,91,2019-06-17,111.79914093017578
92,92,2019-06-18,117.90711212158205
93,93,2019-06-19,118.21638488769533
94,94,2019-06-20,118.34202575683594
95,95,2019-06-21,117.42389678955078
96,96,2019-06-24,117.92644500732422
