,Unnamed: 0,Date,MTB
0,0,2019-02-05,138.50335693359375
1,1,2019-02-06,137.86373901367188
2,2,2019-02-07,142.15335083007812
3,3,2019-02-08,141.0532684326172
4,4,2019-02-11,143.56900024414062
5,5,2019-02-12,144.97613525390625
6,6,2019-02-13,145.50486755371094
7,7,2019-02-14,144.2427215576172
8,8,2019-02-15,146.91197204589844
9,9,2019-02-19,147.94384765625
10,10,2019-02-20,150.0929412841797
11,11,2019-02-21,147.60275268554688
12,12,2019-02-22,147.08255004882812
13,13,2019-02-25,147.08255004882812
14,14,2019-02-26,145.41107177734375
15,15,2019-02-27,147.13368225097656
16,16,2019-02-28,147.58570861816406
17,17,2019-03-01,148.04029846191406
18,18,2019-03-04,148.25474548339844
19,19,2019-03-05,148.1089324951172
20,20,2019-03-06,145.73294067382812
21,21,2019-03-07,143.79440307617188
22,22,2019-03-08,143.96597290039062
23,23,2019-03-11,145.0381622314453
24,24,2019-03-12,146.1275177001953
25,25,2019-03-13,147.6800537109375
26,26,2019-03-14,148.675048828125
27,27,2019-03-15,147.9802703857422
28,28,2019-03-18,149.87588500976562
29,29,2019-03-19,146.9766845703125
30,30,2019-03-20,140.49205017089844
31,31,2019-03-21,137.51564025878906
32,32,2019-03-22,131.91445922851562
33,33,2019-03-25,131.4855499267578
34,34,2019-03-26,133.44985961914062
35,35,2019-03-27,133.21826171875
36,36,2019-03-28,135.010986328125
37,37,2019-03-29,134.68502807617188
38,38,2019-04-01,138.72503662109375
39,39,2019-04-02,138.73365783691406
40,40,2019-04-03,138.85372924804688
41,41,2019-04-04,140.06317138671875
42,42,2019-04-05,140.0030975341797
43,43,2019-04-08,140.72364807128906
44,44,2019-04-09,139.06814575195312
45,45,2019-04-10,139.85726928710938
46,46,2019-04-11,141.10107421875
47,47,2019-04-12,143.89730834960938
48,48,2019-04-15,140.4320068359375
49,49,2019-04-16,144.34341430664062
50,50,2019-04-17,144.51490783691406
51,51,2019-04-18,142.67933654785156
52,52,2019-04-22,142.80799865722656
53,53,2019-04-23,143.37411499023438
54,54,2019-04-24,142.8680419921875
55,55,2019-04-25,143.9145050048828
56,56,2019-04-26,144.92665100097656
57,57,2019-04-29,146.36769104003906
58,58,2019-04-30,145.87876892089844
59,59,2019-05-01,143.99166870117188
60,60,2019-05-02,145.30404663085938
61,61,2019-05-03,146.1275177001953
62,62,2019-05-06,145.62998962402344
63,63,2019-05-07,143.71722412109375
64,64,2019-05-08,143.40841674804688
65,65,2019-05-09,142.4820556640625
66,66,2019-05-10,143.57997131347656
67,67,2019-05-13,138.673583984375
68,68,2019-05-14,139.54852294921875
69,69,2019-05-15,138.3648223876953
70,70,2019-05-16,140.58639526367188
71,71,2019-05-17,140.4834747314453
72,72,2019-05-20,142.0188446044922
73,73,2019-05-21,142.64503479003906
74,74,2019-05-22,142.0789337158203
75,75,2019-05-23,139.5999755859375
76,76,2019-05-24,141.46131896972656
77,77,2019-05-28,139.1539764404297
78,78,2019-05-29,141.3155059814453
79,79,2019-05-30,139.11105346679688
80,80,2019-05-31,137.74742126464844
81,81,2019-06-03,140.0863494873047
82,82,2019-06-04,144.35858154296875
83,83,2019-06-05,143.58181762695312
84,84,2019-06-06,144.0392303466797
85,85,2019-06-07,143.06398010253906
