,Unnamed: 0,Date,DIS
0,0,2019-02-05,110.938232421875
1,1,2019-02-06,109.70732879638672
2,2,2019-02-07,109.25435638427734
3,3,2019-02-08,109.80580139160156
4,4,2019-02-11,107.7674331665039
5,5,2019-02-12,107.53109741210938
6,6,2019-02-13,108.51581573486328
7,7,2019-02-14,108.9687957763672
8,8,2019-02-15,110.86929321289062
9,9,2019-02-19,111.77523803710938
10,10,2019-02-20,111.94263458251952
11,11,2019-02-21,112.5433120727539
12,12,2019-02-22,113.4886474609375
13,13,2019-02-25,111.85401153564452
14,14,2019-02-26,111.76538848876952
15,15,2019-02-27,111.05638885498048
16,16,2019-02-28,111.11547088623048
17,17,2019-03-01,112.2676010131836
18,18,2019-03-04,112.58270263671876
19,19,2019-03-05,112.25775146484376
20,20,2019-03-06,113.0947494506836
21,21,2019-03-07,112.2676010131836
22,22,2019-03-08,112.07064819335938
23,23,2019-03-11,112.99628448486328
24,24,2019-03-12,112.97659301757812
25,25,2019-03-13,112.34636688232422
26,26,2019-03-14,112.73041534423828
27,27,2019-03-15,113.20307159423828
28,28,2019-03-18,111.39119720458984
29,29,2019-03-19,108.31887817382812
30,30,2019-03-20,108.30902862548828
31,31,2019-03-21,106.99935913085938
32,32,2019-03-22,106.57593536376952
33,33,2019-03-25,106.14265441894533
34,34,2019-03-26,108.4567413330078
35,35,2019-03-27,108.59459686279295
36,36,2019-03-28,109.01802825927734
37,37,2019-03-29,109.33313751220705
38,38,2019-04-01,110.79052734375
39,39,2019-04-02,110.2489242553711
40,40,2019-04-03,110.80036926269533
41,41,2019-04-04,112.99628448486328
42,42,2019-04-05,113.24246215820312
43,43,2019-04-08,113.20307159423828
44,44,2019-04-09,115.07404327392578
45,45,2019-04-10,115.36946105957033
46,46,2019-04-11,114.81800842285156
47,47,2019-04-12,128.07229614257812
48,48,2019-04-15,130.02203369140625
49,49,2019-04-16,127.91474151611328
50,50,2019-04-17,129.73646545410156
51,51,2019-04-18,130.42576599121094
52,52,2019-04-22,129.66754150390625
53,53,2019-04-23,131.32186889648438
54,54,2019-04-24,133.0352783203125
55,55,2019-04-25,135.142578125
56,56,2019-04-26,137.7816162109375
57,57,2019-04-29,137.1710968017578
58,58,2019-04-30,134.876708984375
59,59,2019-05-01,134.29571533203125
60,60,2019-05-02,132.08995056152344
61,61,2019-05-03,132.27703857421875
62,62,2019-05-06,132.93679809570312
63,63,2019-05-07,131.40066528320312
64,64,2019-05-08,132.92697143554688
65,65,2019-05-09,131.54835510253906
66,66,2019-05-10,131.99148559570312
67,67,2019-05-13,129.33273315429688
68,68,2019-05-14,131.164306640625
69,69,2019-05-15,132.62168884277344
70,70,2019-05-16,133.42916870117188
71,71,2019-05-17,132.97618103027344
72,72,2019-05-20,131.86346435546875
73,73,2019-05-21,132.04071044921875
74,74,2019-05-22,131.8043975830078
75,75,2019-05-23,130.7014923095703
76,76,2019-05-24,130.76055908203125
77,77,2019-05-28,130.59317016601562
78,78,2019-05-29,129.55923461914062
79,79,2019-05-30,130.17959594726562
80,80,2019-05-31,130.02203369140625
81,81,2019-06-03,130.44546508789062
82,82,2019-06-04,132.75955200195312
83,83,2019-06-05,133.8624267578125
84,84,2019-06-06,135.113037109375
85,85,2019-06-07,135.93032836914062
86,86,2019-06-10,134.9751739501953
87,87,2019-06-11,133.0155792236328
