,Unnamed: 0,Date,AVY
0,0,2019-02-05,96.19617462158205
1,1,2019-02-06,95.58098602294922
2,2,2019-02-07,94.59854125976562
3,3,2019-02-08,94.40573120117188
4,4,2019-02-11,93.65283966064452
5,5,2019-02-12,95.5626220703125
6,6,2019-02-13,95.86560821533205
7,7,2019-02-14,95.44324493408205
8,8,2019-02-15,96.31552124023438
9,9,2019-02-19,96.38897705078124
10,10,2019-02-20,97.72030639648438
11,11,2019-02-21,96.96742248535156
12,12,2019-02-22,98.18856048583984
13,13,2019-02-25,99.10674285888672
14,14,2019-02-26,98.10591888427734
15,15,2019-02-27,98.95982360839844
16,16,2019-02-28,99.19854736328124
17,17,2019-03-01,100.73188018798828
18,18,2019-03-04,100.4380874633789
19,19,2019-03-05,100.41039276123048
20,20,2019-03-06,99.61701202392578
21,21,2019-03-07,99.44171905517578
22,22,2019-03-08,100.00447845458984
23,23,2019-03-11,100.6963882446289
24,24,2019-03-12,101.99718475341795
25,25,2019-03-13,101.45288848876952
26,26,2019-03-14,101.59127044677734
27,27,2019-03-15,101.67430114746094
28,28,2019-03-18,102.9566421508789
29,29,2019-03-19,103.5747528076172
30,30,2019-03-20,101.4621124267578
31,31,2019-03-21,102.62451171875
32,32,2019-03-22,100.54878997802734
33,33,2019-03-25,100.90857696533205
34,34,2019-03-26,102.27394104003906
35,35,2019-03-27,102.49535369873048
36,36,2019-03-28,104.26665496826172
37,37,2019-03-29,104.24820709228516
38,38,2019-04-01,104.88477325439452
39,39,2019-04-02,104.33124542236328
40,40,2019-04-03,104.49729919433594
41,41,2019-04-04,104.79251098632812
42,42,2019-04-05,105.2076416015625
43,43,2019-04-08,105.08773803710938
44,44,2019-04-09,103.89764404296876
45,45,2019-04-10,104.94934844970705
46,46,2019-04-11,105.4936294555664
47,47,2019-04-12,107.30184936523438
48,48,2019-04-15,107.04351806640624
49,49,2019-04-16,107.35720825195312
50,50,2019-04-17,104.83863830566406
51,51,2019-04-18,104.5895538330078
52,52,2019-04-22,105.06927490234376
53,53,2019-04-23,107.01586151123048
54,54,2019-04-24,102.21859741210938
55,55,2019-04-25,100.05982971191406
56,56,2019-04-26,100.72406768798828
57,57,2019-04-29,101.12075805664062
58,58,2019-04-30,102.0802230834961
59,59,2019-05-01,100.1151885986328
60,60,2019-05-02,101.12075805664062
61,61,2019-05-03,102.7905731201172
62,62,2019-05-06,100.94546508789062
63,63,2019-05-07,98.55607604980467
64,64,2019-05-08,97.99331665039062
65,65,2019-05-09,97.3659896850586
66,66,2019-05-10,98.02098083496094
67,67,2019-05-13,95.72384643554688
68,68,2019-05-14,95.39173126220705
69,69,2019-05-15,95.05037689208984
70,70,2019-05-16,94.82898712158205
71,71,2019-05-17,93.78649139404295
72,72,2019-05-20,92.18123626708984
73,73,2019-05-21,93.6296615600586
74,74,2019-05-22,92.80859375
75,75,2019-05-23,91.96905517578124
76,76,2019-05-24,93.41748046875
77,77,2019-05-28,93.9156494140625
78,78,2019-05-29,94.59833526611328
79,79,2019-05-30,95.61315155029295
80,80,2019-05-31,96.00060272216795
81,81,2019-06-03,97.58738708496094
82,82,2019-06-04,99.89722442626952
83,83,2019-06-05,101.23299407958984
84,84,2019-06-06,102.36473083496094
85,85,2019-06-07,104.0344467163086
86,86,2019-06-10,104.38697814941406
87,87,2019-06-11,104.14579010009766
88,88,2019-06-12,103.73763275146484
89,89,2019-06-13,103.01407623291016
90,90,2019-06-14,102.4018325805664
91,91,2019-06-17,102.1513671875
92,92,2019-06-18,102.54097747802734
