,Unnamed: 0.1,Unnamed: 0,Date,ANET,ANET_6m,ANET_12m
0,0,0,2019-02-05,56.00749969482422,,
1,1,1,2019-02-06,56.16749954223633,,
2,2,2,2019-02-07,55.06999969482422,,
3,3,3,2019-02-08,56.584999084472656,,
4,4,4,2019-02-11,57.29499816894531,,
5,5,5,2019-02-12,59.61249923706055,,
6,6,6,2019-02-13,59.09999847412109,56.00749969482422,
7,7,7,2019-02-14,60.19499969482422,56.16749954223633,
8,8,8,2019-02-15,65.98750305175781,55.06999969482422,
9,9,9,2019-02-19,67.3949966430664,56.584999084472656,
10,10,10,2019-02-20,67.68000030517578,57.29499816894531,
11,11,11,2019-02-21,67.625,59.61249923706055,
12,12,12,2019-02-22,68.74250030517578,59.09999847412109,56.00749969482422
13,13,13,2019-02-25,69.82499694824219,60.19499969482422,56.16749954223633
14,14,14,2019-02-26,70.13249969482422,65.98750305175781,55.06999969482422
15,15,15,2019-02-27,70.99749755859375,67.3949966430664,56.584999084472656
16,16,16,2019-02-28,71.3125,67.68000030517578,57.29499816894531
17,17,17,2019-03-01,71.63500213623047,67.625,59.61249923706055
18,18,18,2019-03-04,71.0999984741211,68.74250030517578,59.09999847412109
19,19,19,2019-03-05,69.44499969482422,69.82499694824219,60.19499969482422
20,20,20,2019-03-06,68.7750015258789,70.13249969482422,65.98750305175781
21,21,21,2019-03-07,69.05750274658203,70.99749755859375,67.3949966430664
22,22,22,2019-03-08,68.63749694824219,71.3125,67.68000030517578
23,23,23,2019-03-11,70.44999694824219,71.63500213623047,67.625
24,24,24,2019-03-12,71.27249908447266,71.0999984741211,68.74250030517578
25,25,25,2019-03-13,73.12750244140625,69.44499969482422,69.82499694824219
26,26,26,2019-03-14,73.15249633789062,68.7750015258789,70.13249969482422
27,27,27,2019-03-15,74.19000244140625,69.05750274658203,70.99749755859375
28,28,28,2019-03-18,74.80000305175781,68.63749694824219,71.3125
29,29,29,2019-03-19,73.79499816894531,70.44999694824219,71.63500213623047
30,30,30,2019-03-20,74.61250305175781,71.27249908447266,71.0999984741211
31,31,31,2019-03-21,78.75499725341797,73.12750244140625,69.44499969482422
32,32,32,2019-03-22,75.04000091552734,73.15249633789062,68.7750015258789
33,33,33,2019-03-25,75.30750274658203,74.19000244140625,69.05750274658203
34,34,34,2019-03-26,77.44999694824219,74.80000305175781,68.63749694824219
35,35,35,2019-03-27,77.8324966430664,73.79499816894531,70.44999694824219
36,36,36,2019-03-28,78.07499694824219,74.61250305175781,71.27249908447266
37,37,37,2019-03-29,78.61499786376953,78.75499725341797,73.12750244140625
38,38,38,2019-04-01,79.58999633789062,75.04000091552734,73.15249633789062
39,39,39,2019-04-02,79.60749816894531,75.30750274658203,74.19000244140625
40,40,40,2019-04-03,80.4375,77.44999694824219,74.80000305175781
41,41,41,2019-04-04,78.2874984741211,77.8324966430664,73.79499816894531
42,42,42,2019-04-05,77.76499938964844,78.07499694824219,74.61250305175781
43,43,43,2019-04-08,79.2249984741211,78.61499786376953,78.75499725341797
44,44,44,2019-04-09,79.29750061035156,79.58999633789062,75.04000091552734
45,45,45,2019-04-10,80.5625,79.60749816894531,75.30750274658203
46,46,46,2019-04-11,80.55750274658203,80.4375,77.44999694824219
